player_name,OVERALL_PICK,Totals_FG,Totals_FT,Totals_TRB,Totals_BLK,Totals_STL,Totals_TOV,Totals_PF,Shooting_FG%,MP,Age
Chris Jefferies,27,102,37,132,46.0,25.0,67.0,66.0,0.445,720.0,18.0
Chris Jefferies,27,115,92,133,25.0,25.0,51.0,58.0,0.418,726.0,21.0
Dan Dickau,28,22,5,38,0.0,11.0,28.0,27.0,0.393,296.0,20.0
Dan Dickau,28,195,165,95,4.0,26.0,92.0,61.0,0.441,1110.0,23.0
Steve Logan,29,246,192,107,0.0,32.0,86.0,63.0,0.457,1195.0,21.0
Robert Archibald,31,114,134,188,38.0,25.0,67.0,123.0,0.659,769.0,21.0
Vincent Yarbrough,32,194,112,234,25.0,58.0,93.0,60.0,0.425,1097.0,20.0
Dan Gadzuric,33,164,58,255,42.0,18.0,52.0,89.0,0.554,865.0,23.0
Carlos Boozer,34,230,178,303,21.0,31.0,65.0,107.0,0.665,993.0,20.0
Tito Maddox,37,110,97,144,5.0,41.0,130.0,67.0,0.391,807.0,19.0
Rod Grizzard,38,166,122,213,25.0,38.0,80.0,76.0,0.423,1078.0,21.0
Jason Jennings,42,59,14,84,36.0,11.0,26.0,51.0,0.567,406.0,19.0
Jason Jennings,42,170,98,198,101.0,10.0,58.0,95.0,0.567,842.0,22.0
Lonny Baxter,43,193,147,288,69.0,33.0,76.0,103.0,0.545,1005.0,23.0
Sam Clancy,44,236,138,302,48.0,56.0,55.0,99.0,0.494,1203.0,21.0
Matt Barnes,45,152,73,192,10.0,35.0,87.0,75.0,0.471,953.0,21.0
Jamal Sampson,46,78,50,209,54.0,15.0,53.0,85.0,0.426,797.0,18.0
Chris Owens,47,56,54,140,30.0,25.0,51.0,61.0,0.384,552.0,18.0
Chris Owens,47,62,47,81,21.0,8.0,19.0,27.0,0.5,299.0,22.0
Darius Songaila,49,204,193,276,27.0,45.0,119.0,104.0,0.523,1036.0,23.0
Marcus Taylor,51,164,100,83,3.0,31.0,91.0,52.0,0.4,997.0,20.0
Rasual Butler,52,233,147,283,43.0,41.0,84.0,55.0,0.434,1252.0,22.0
Tamar Slay,53,196,95,161,16.0,49.0,89.0,81.0,0.446,1031.0,21.0
Randy Holcomb,56,63,30,93,15.0,15.0,51.0,40.0,0.492,419.0,19.0
Randy Holcomb,56,220,106,296,32.0,24.0,116.0,83.0,0.516,1067.0,22.0
Corsley Edwards,57,178,137,278,48.0,44.0,71.0,77.0,0.504,992.0,22.0
Emeka Okafor,2,261,113,415,147.0,36.0,84.0,85.0,0.599,1166.0,21.0
