SEASON ,player_name            ,OVERALL_PICK ,true_rank_in_season ,pred_rank_in_season ,pred_score
  2006 ,Bobby Jones            ,          37 ,               32.0 ,               43.0 ,-4.940462615239394
  2006 ,David Noel             ,          39 ,               33.0 ,               40.0 ,-4.250224194091854
  2006 ,Denham Brown           ,          40 ,               34.0 ,               34.0 ,-3.2929575778637283
  2006 ,James Augustine        ,          41 ,               35.0 ,               23.0 ,-1.3086579779299028
  2006 ,Daniel Gibson          ,          42 ,               36.0 ,               21.0 ,-1.1070384096880443
  2006 ,Alexander Johnson      ,          45 ,               37.0 ,               38.0 ,-3.982759043425521
  2006 ,Dee Brown              ,          46 ,               38.0 ,               36.0 ,-3.8418873770370277
  2006 ,Paul Millsap           ,          47 ,               39.0 ,                5.0 ,0.7614382597676023
  2006 ,Leon Powe              ,          49 ,               40.0 ,               35.0 ,-3.4410277627853474
  2006 ,Ryan Hollins           ,          50 ,               41.0 ,               37.0 ,-3.846534032881845
  2006 ,Hassan Adams           ,          54 ,               42.0 ,               24.0 ,-1.6943567145555603
  2006 ,Will Blalock           ,          60 ,               43.0 ,               30.0 ,-2.8496456860892803
  2012 ,Anthony Davis          ,           1 ,                1.0 ,                1.0 ,4.39249465307422
  2012 ,Michael Kidd-Gilchrist ,           2 ,                2.0 ,                5.0 ,2.318706083349935
  2012 ,Bradley Beal           ,           3 ,                3.0 ,                3.0 ,3.1247705682215057
  2012 ,Dion Waiters           ,           4 ,                4.0 ,               15.0 ,0.12003217891306128
  2012 ,Thomas Robinson        ,           5 ,                5.0 ,               10.0 ,0.8866731469634448
  2012 ,Damian Lillard         ,           6 ,                6.0 ,               38.0 ,-2.4749381733278595
  2012 ,Harrison Barnes        ,           7 ,                7.0 ,               11.0 ,0.7355759213491254
  2012 ,Terrence Ross          ,           8 ,                8.0 ,               28.0 ,-1.3633341738487377
  2012 ,Andre Drummond         ,           9 ,                9.0 ,                9.0 ,1.09923965129521
  2012 ,Austin Rivers          ,          10 ,               10.0 ,               27.0 ,-1.3520232748202166
  2012 ,Meyers Leonard         ,          11 ,               11.0 ,               21.0 ,-0.4439854290378361
  2012 ,Jeremy Lamb            ,          12 ,               12.0 ,                8.0 ,1.9745534313848705
  2012 ,Kendall Marshall       ,          13 ,               13.0 ,               37.0 ,-2.3342006182609847
  2012 ,John Henson            ,          14 ,               14.0 ,               22.0 ,-0.7888585407980526
  2012 ,Maurice Harkless       ,          15 ,               15.0 ,                4.0 ,3.1049225306381154
  2012 ,Royce White            ,          16 ,               16.0 ,               14.0 ,0.30786546347095023
  2012 ,Royce White            ,          16 ,               17.0 ,               20.0 ,-0.1522358239134066
  2012 ,Tyler Zeller           ,          17 ,               18.0 ,               31.0 ,-1.7748955095305459
  2012 ,Terrence Jones         ,          18 ,               19.0 ,               23.0 ,-0.8602531727162119
  2012 ,Andrew Nicholson       ,          19 ,               20.0 ,               46.0 ,-3.293386926535395
  2012 ,Jared Sullinger        ,          21 ,               21.0 ,                6.0 ,2.1099798084703076
  2012 ,Fab Melo               ,          22 ,               22.0 ,               30.0 ,-1.4450627044102753
  2012 ,John Jenkins           ,          23 ,               23.0 ,               24.0 ,-0.9442256067163098
  2012 ,Jared Cunningham       ,          24 ,               24.0 ,                7.0 ,2.094476773528799
  2012 ,Tony Wroten            ,          25 ,               25.0 ,                2.0 ,3.6407573914108355
  2012 ,Miles Plumlee          ,          26 ,               26.0 ,               53.0 ,-5.806134815739255
  2012 ,Arnett Moultrie        ,          27 ,               27.0 ,               44.0 ,-3.0770636500980633
  2012 ,Arnett Moultrie        ,          27 ,               28.0 ,               17.0 ,-0.06429979444617491
  2012 ,Marquis Teague         ,          29 ,               29.0 ,               18.0 ,-0.08243943344496682
  2012 ,Festus Ezeli           ,          30 ,               30.0 ,               52.0 ,-4.7883410349766615
  2012 ,Bernard James          ,          33 ,               31.0 ,               51.0 ,-4.213443006019415
  2012 ,Jae Crowder            ,          34 ,               32.0 ,               12.0 ,0.5872014351604736
  2012 ,Draymond Green         ,          35 ,               33.0 ,               29.0 ,-1.3688627577801877
  2012 ,Orlando Johnson        ,          36 ,               34.0 ,               35.0 ,-2.140946366852042
  2012 ,Orlando Johnson        ,          36 ,               35.0 ,               39.0 ,-2.5311937068214116
  2012 ,Quincy Acy             ,          37 ,               36.0 ,               26.0 ,-1.1829450087285625
  2012 ,Quincy Miller          ,          38 ,               37.0 ,               16.0 ,0.06911380931044776
  2012 ,Khris Middleton        ,          39 ,               38.0 ,               48.0 ,-3.5847233912512584
  2012 ,Will Barton            ,          40 ,               39.0 ,               34.0 ,-2.0633532215508303
  2012 ,Tyshawn Taylor         ,          41 ,               40.0 ,               19.0 ,-0.1162600021711678
  2012 ,Doron Lamb             ,          42 ,               41.0 ,               32.0 ,-1.8301128174372339
  2012 ,Mike Scott             ,          43 ,               42.0 ,               25.0 ,-1.061023558849841
  2012 ,Kim English            ,          44 ,               43.0 ,               41.0 ,-2.753161107290918
  2012 ,Justin Hamilton        ,          45 ,               44.0 ,               42.0 ,-2.80646169930315
  2012 ,Justin Hamilton        ,          45 ,               45.0 ,               40.0 ,-2.7493472283067204
  2012 ,Darius Miller          ,          46 ,               46.0 ,               47.0 ,-3.48990964374937
  2012 ,Kevin Murphy           ,          47 ,               47.0 ,               36.0 ,-2.3278179923451177
  2012 ,Kyle O'Quinn           ,          49 ,               48.0 ,               13.0 ,0.3123143650362923
  2012 ,Kris Joseph            ,          51 ,               49.0 ,               49.0 ,-3.9312256008760267
  2012 ,Darius Johnson-Odom    ,          55 ,               50.0 ,               50.0 ,-4.10667501100445
  2012 ,Robbie Hummel          ,          58 ,               51.0 ,               43.0 ,-2.9543942678219066
  2012 ,Marcus Denmon          ,          59 ,               52.0 ,               33.0 ,-2.037423708950923
  2012 ,Robert Sacre           ,          60 ,               53.0 ,               45.0 ,-3.2518268164441446
