,PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,OVERALL_PICK,TEAM_NAME,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG,POSITION,HEIGHT,WEIGHT,WINGSPAN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,BMI,VERTICAL_RATIO
50,2080,Igor Rakocevic,2000,2,51,Timberwolves,Red Star Belgrade (Serbia),Other Team/Club,1,G,74.5,184.0,77.25,,,,27.5,34.0,10.4,,3.1,9.0,23.305616864105218,0.4563758389261745
51,2081,Ernest Brown,2000,2,52,Heat,Indian Hills Community College,College/University,1,C,82.0,222.5,85.25,,,,,,,,,2.0,23.262566924449732,
52,2082,Dan McClintock,2000,2,53,Nuggets,Northern Arizona,College/University,1,F,83.0,250.0,85.5,,,,33.0,35.0,11.52,,3.33,20.0,25.511685295398465,0.42168674698795183
53,2083,Cory Hightower,2000,2,54,Spurs,Indian Hills Community College,College/University,0,G,77.5,183.0,83.0,,,,29.5,34.5,11.92,,3.37,0.0,21.419188345473465,0.44516129032258067
54,2084,Chris Porter,2000,2,55,Warriors,Auburn,College/University,1,F,77.5,214.0,81.5,,,,28.5,35.0,10.93,,3.2,6.0,25.04757544224766,0.45161290322580644
55,2085,Jaquay Walls,2000,2,56,Pacers,Colorado,College/University,0,,,,,,,,,,,,,,,
56,2086,Scoonie Penn,2000,2,57,Hawks,Ohio State,College/University,0,,,,,,,,,,,,,,,
57,2087,Pete Mickeal,2000,2,58,Mavericks,Cincinnati,College/University,0,G,77.0,222.0,81.5,,,,28.0,34.5,10.83,,3.06,8.0,26.3224827120931,0.44805194805194803
58,2198,Kwame Brown,2001,1,1,Wizards,Glynn Academy,High School,1,F,82.0,243.0,85.0,8.9,,,30.0,33.0,11.59,,3.45,17.0,25.405859607376563,0.4024390243902439
59,2199,Tyson Chandler,2001,1,2,Clippers,Dominguez,High School,1,F,83.5,224.0,87.0,6.7,,,31.0,33.5,12.13,,3.36,2.0,22.585535515794756,0.40119760479041916
60,2200,Pau Gasol,2001,1,3,Hawks,FC Barcelona Basquet (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
61,2201,Eddy Curry,2001,1,4,Bulls,Thornwood,High School,1,C,82.5,301.0,90.5,16.5,,,28.0,31.0,12.25,,3.53,16.0,31.089513314967864,0.37575757575757573
62,2202,Jason Richardson,2001,1,5,Warriors,Michigan State,College/University,1,G,76.75,213.0,83.5,5.3,,,32.5,39.5,11.75,,3.12,15.0,25.42015299897081,0.5146579804560261
63,2203,Shane Battier,2001,1,6,Grizzlies,Duke,College/University,1,F,80.25,229.0,82.5,9.3,,,29.5,33.0,10.95,,3.3,12.0,24.99773876418125,0.411214953271028
64,2204,Eddie Griffin,2001,1,7,Nets,Seton Hall,College/University,1,F,81.25,222.0,87.0,4.0,,,26.5,33.0,11.77,,3.21,3.0,23.640766863905323,0.40615384615384614
65,2205,DeSagana Diop,2001,1,8,Cavaliers,Oak Hill Academy,High School,1,C,82.0,314.0,90.5,21.0,,,21.5,25.5,12.37,,3.56,15.0,32.828970850684115,0.31097560975609756
66,2206,Rodney White,2001,1,9,Pistons,North Carolina-Charlotte,College/University,1,F,79.5,243.0,83.5,9.3,,,27.5,33.0,12.07,,3.47,16.0,27.028835884656463,0.41509433962264153
67,2207,Joe Johnson,2001,1,10,Celtics,Arkansas,College/University,1,G,78.75,226.0,81.0,6.7,,,32.5,36.5,12.05,,3.4,12.0,25.619027462836986,0.4634920634920635
68,2208,Kedrick Brown,2001,1,11,Celtics,Northwest Florida State,College/University,1,,,,,,,,,,,,,,,
69,2209,Vladimir Radmanovic,2001,1,12,SuperSonics,KK FMP (Serbia),Other Team/Club,1,,,,,,,,,,,,,,,
70,2210,Richard Jefferson,2001,1,13,Rockets,Arizona,College/University,1,F,79.25,223.0,84.0,6.7,,,33.0,38.5,11.19,,3.15,14.0,24.96098080386908,0.48580441640378547
71,2211,Troy Murphy,2001,1,14,Warriors,Notre Dame,College/University,1,F,81.75,230.0,83.0,11.7,,,28.5,34.5,11.22,,3.43,11.0,24.193997886448017,0.42201834862385323
72,2212,Steven Hunter,2001,1,15,Magic,DePaul,College/University,1,F,82.25,224.0,88.0,5.3,,,30.5,38.5,11.99,,3.15,11.0,23.277242449718685,0.46808510638297873
73,2213,Kirk Haston,2001,1,16,Hornets,Indiana,College/University,1,F,80.0,242.0,84.25,10.5,,,27.0,31.5,12.25,,3.35,11.0,26.5821875,0.39375
74,2214,Michael Bradley,2001,1,17,Raptors,Villanova,College/University,1,F,81.5,227.0,85.5,9.3,,,27.0,30.0,11.11,,3.35,13.0,24.025142082878542,0.36809815950920244
75,2215,Jason Collins,2001,1,18,Rockets,Stanford,College/University,1,F,82.25,251.0,88.5,12.9,,,25.5,28.5,12.1,,3.54,8.0,26.082981494997274,0.3465045592705167
76,2216,Zach Randolph,2001,1,19,Trail Blazers,Michigan State,College/University,1,,,,,,,,,,,,,,,
77,2217,Brendan Haywood,2001,1,20,Cavaliers,North Carolina,College/University,1,C,83.75,266.0,90.5,12.9,,,27.0,28.5,12.87,,3.5,17.0,26.660441078191134,0.3402985074626866
78,2218,Joseph Forte,2001,1,21,Celtics,North Carolina,College/University,1,G,75.5,193.0,78.5,,,,26.5,33.0,11.51,,3.19,10.0,23.8022893732731,0.4370860927152318
79,2219,Jeryl Sasser,2001,1,22,Magic,Southern Methodist,College/University,1,G,77.5,194.0,82.5,6.7,,,29.0,34.0,11.47,,3.22,1.0,22.70668054110302,0.43870967741935485
80,2220,Brandon Armstrong,2001,1,23,Rockets,Pepperdine,College/University,1,G,75.5,188.0,81.5,9.3,,,30.0,37.0,10.91,,3.2,6.0,23.185649752203847,0.4900662251655629
81,2221,Raul Lopez,2001,1,24,Jazz,Real Madrid Baloncesto (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
82,2222,Gerald Wallace,2001,1,25,Kings,Alabama,College/University,1,,,,,,,,,,,,,,,
83,2223,Samuel Dalembert,2001,1,26,76ers,Seton Hall,College/University,1,,,,,,,,,,,,,,,
84,2224,Jamaal Tinsley,2001,1,27,Grizzlies,Iowa State,College/University,1,G,72.75,199.0,79.5,13.6,,,28.0,37.5,11.96,,3.2,1.0,26.43275351023252,0.5154639175257731
85,2225,Tony Parker,2001,1,28,Spurs,Paris Basket Racing (France),Other Team/Club,1,,,,,,,,,,,,,,,
86,2239,Trenton Hassell,2001,2,29,Bulls,Austin Peay,College/University,1,G,76.25,205.0,80.0,5.3,,,35.5,37.5,11.57,,3.29,12.0,24.787315237839287,0.4918032786885246
87,2240,Gilbert Arenas,2001,2,30,Warriors,Arizona,College/University,1,G,74.25,199.0,81.5,5.3,,,31.5,36.0,,,3.25,12.0,25.37555124760512,0.48484848484848486
88,2241,Omar Cook,2001,2,31,Magic,St. John's (NY),College/University,1,G,71.5,189.0,77.5,5.5,,,31.0,35.5,10.77,,3.2,9.0,25.989926157758326,0.4965034965034965
89,2226,Will Solomon,2001,2,32,Grizzlies,Clemson,College/University,1,G,71.75,172.0,81.5,4.0,,,28.5,35.0,11.3,,3.22,4.0,23.487671332661563,0.4878048780487805
90,2242,Terence Morris,2001,2,33,Hawks,Maryland,College/University,1,,,,,,,,,,,,,,,
91,2243,Brian Scalabrine,2001,2,34,Nets,Southern California,College/University,1,F,80.75,241.0,81.75,13.6,,,27.0,30.5,11.75,,3.47,14.0,25.982881078127846,0.37770897832817335
92,2244,Jeff Trepagnier,2001,2,35,Cavaliers,Southern California,College/University,1,,,,,,,,,,,,,,,
93,2245,Damone Brown,2001,2,36,76ers,Syracuse,College/University,1,F,80.25,202.0,83.75,6.7,,,32.0,37.0,11.81,,3.27,6.0,22.050407119496125,0.46105919003115264
94,2246,Mehmet Okur,2001,2,37,Pistons,Anadolu Efes S.K. (Turkey),Other Team/Club,1,,,,,,,,,,,,,,,
95,2247,Michael Wright,2001,2,38,Knicks,Arizona,College/University,0,,,,,,,,,,,,,,,
96,2248,Earl Watson,2001,2,39,SuperSonics,California-Los Angeles,College/University,1,G,72.0,184.0,78.75,4.0,,,32.5,37.5,10.97,,3.19,4.0,24.952160493827158,0.5208333333333334
97,2249,Jamison Brewer,2001,2,40,Pacers,Auburn,College/University,1,G,74.5,178.0,80.75,6.7,,,26.0,32.5,9.65,,3.15,12.0,22.54565109679744,0.436241610738255
98,2250,Bobby Simmons,2001,2,41,SuperSonics,DePaul,College/University,1,F,78.25,235.0,84.25,6.7,,,27.5,34.0,11.69,,3.41,12.0,26.980779634374137,0.43450479233226835
99,2251,Eric Chenowith,2001,2,42,Knicks,Kansas,College/University,1,C,85.0,264.0,88.0,12.9,,,23.5,27.5,12.5,,3.59,6.0,25.68747404844291,0.3235294117647059
100,2252,Kyle Hill,2001,2,43,Mavericks,Eastern Illinois,College/University,0,,,,,,,,,,,,,,,
101,2253,Sean Lampley,2001,2,44,Bulls,California,College/University,1,F,77.5,213.0,81.25,8.0,,,36.0,40.0,11.06,,3.12,12.0,24.930530697190427,0.5161290322580645
102,2254,Loren Woods,2001,2,45,Timberwolves,Arizona,College/University,1,F,84.75,246.0,89.5,9.3,,,24.5,28.0,11.83,,3.48,10.0,24.077479311875113,0.3303834808259587
103,2255,Ousmane Cisse,2001,2,46,Nuggets,St. Jude Educational Institute,High School,1,,,,,,,,,,,,,,,
104,2238,Antonis Fotsis,2001,2,47,Grizzlies,Panathinaikos B.C. (Greece),Other Team/Club,1,,,,,,,,,,,,,,,
105,2256,Ken Johnson,2001,2,48,Heat,Ohio State,College/University,1,C,82.75,227.0,88.0,9.9,,,32.5,35.0,11.27,,3.12,13.0,23.304789112914268,0.4229607250755287
106,2257,Ruben Boumtje-Boumtje,2001,2,49,Trail Blazers,Georgetown,College/University,1,C,83.5,245.0,88.0,6.0,,,26.5,31.0,11.84,,3.33,6.0,24.702929470400516,0.3712574850299401
107,2228,Alton Ford,2001,2,50,Suns,Houston,College/University,1,F,80.25,271.0,82.5,8.0,,,34.5,36.5,11.7,,3.16,21.0,29.58247687813589,0.45482866043613707
108,2259,Andre Hutson,2001,2,51,Bucks,Michigan State,College/University,0,,,,,,,,,,,,,,,
109,2260,Jarron Collins,2001,2,52,Jazz,Stanford,College/University,1,F,81.25,252.0,87.0,15.2,,,23.0,29.0,11.65,,3.6,10.0,26.835465088757395,0.3569230769230769
110,2261,Kenny Satterfield,2001,2,53,Mavericks,Cincinnati,College/University,1,,,,,,,,,,,,,,,
111,2262,Maurice Jeffers,2001,2,54,Kings,Saint Louis,College/University,0,,,,,,,,,,,,,,,
112,2263,Robertas Javtokas,2001,2,55,Spurs,BC Lietuvos rytas (Lithuania),Other Team/Club,0,,,,,,,,,,,,,,,
113,2264,Alvin Jones,2001,2,56,76ers,Georgia Tech,College/University,1,,,,,,,,,,,,,,,
114,2265,Bryan Bracey,2001,2,57,Spurs,Oregon,College/University,0,,,,,,,,,,,,,,,
115,2397,Yao Ming,2002,1,1,Rockets,Shanghai Sharks (China),Other Team/Club,1,,,,,,,,,,,,,,,
116,2398,Jay Williams,2002,1,2,Bulls,Duke,College/University,1,G,72.25,197.0,75.5,,,,28.5,36.0,10.34,,3.09,10.0,26.530525257120964,0.4982698961937716
117,2399,Mike Dunleavy,2002,1,3,Warriors,Duke,College/University,1,F,80.0,230.0,81.0,,,,24.5,29.0,11.55,,3.3,11.0,25.264062499999998,0.3625
118,2400,Drew Gooden,2002,1,4,Grizzlies,Kansas,College/University,1,F,80.75,227.0,84.5,,,,29.0,33.0,11.81,,3.19,13.0,24.473502094336187,0.4086687306501548
119,2401,Nikoloz Tskitishvili,2002,1,5,Nuggets,Universo Treviso Basket (Italy),Other Team/Club,1,,,,,,,,,,,,,,,
120,2402,Dajuan Wagner,2002,1,6,Cavaliers,Memphis,College/University,1,G,72.75,193.0,74.0,,,,28.0,35.0,12.03,,3.22,16.0,25.63578606771295,0.48109965635738833
121,2403,Nene,2002,1,7,Knicks,CR Vasco da Gama (Brazil),Other Team/Club,1,F,81.25,253.0,88.5,,,,30.0,34.0,10.73,,3.19,16.0,26.9419550295858,0.41846153846153844
122,2404,Chris Wilcox,2002,1,8,Clippers,Maryland,College/University,1,F,80.25,218.0,85.0,,,,31.0,34.5,11.43,,3.16,20.0,23.79697402005027,0.42990654205607476
123,2405,Amar'e Stoudemire,2002,1,9,Suns,Cypress Creek,High School,1,F,80.5,233.0,85.75,,,,32.0,35.5,11.19,,3.25,12.0,25.276648277458428,0.4409937888198758
124,2406,Caron Butler,2002,1,10,Heat,Connecticut,College/University,1,G,77.25,222.0,83.5,,,,27.0,31.0,12.15,,3.33,2.0,26.152386338643293,0.40129449838187703
125,2407,Jared Jeffries,2002,1,11,Wizards,Indiana,College/University,1,F,82.0,230.0,84.5,,,,26.0,30.0,11.73,,3.4,9.0,24.04669839381321,0.36585365853658536
126,2408,Melvin Ely,2002,1,12,Clippers,Fresno State,College/University,1,F,81.0,240.0,88.0,,,,26.0,29.0,11.96,,3.35,7.0,25.715592135345226,0.35802469135802467
127,2409,Marcus Haislip,2002,1,13,Bucks,Tennessee,College/University,1,F,80.5,221.0,84.0,,,,33.5,36.5,11.35,,3.21,8.0,23.97484664943482,0.453416149068323
128,2410,Fred Jones,2002,1,14,Pacers,Oregon,College/University,1,G,74.25,218.0,84.0,,,,33.5,37.5,11.12,,3.13,,27.79834257275335,0.5050505050505051
129,2411,Bostjan Nachbar,2002,1,15,Rockets,Universo Treviso Basket (Italy),Other Team/Club,1,,,,,,,,,,,,,,,
130,2412,Jiri Welsch,2002,1,16,76ers,KK Olimpija (Slovenia),Other Team/Club,1,,,,,,,,,,,,,,,
131,2413,Juan Dixon,2002,1,17,Wizards,Maryland,College/University,1,,,,,,,,,,,,,,,
132,2414,Curtis Borchardt,2002,1,18,Magic,Stanford,College/University,1,C,82.75,238.0,86.5,,,,24.0,27.0,12.56,,3.63,7.0,24.434096074333024,0.32628398791540786
133,2415,Ryan Humphrey,2002,1,19,Jazz,Notre Dame,College/University,1,F,78.0,223.0,84.0,,,,31.5,37.5,11.75,,3.2,13.0,25.76742274819198,0.4807692307692308
134,2416,Kareem Rush,2002,1,20,Raptors,Missouri,College/University,1,G,76.75,199.0,81.75,,,,26.0,30.0,11.86,,3.22,15.0,23.7493448206347,0.39087947882736157
135,2417,Qyntel Woods,2002,1,21,Trail Blazers,Northeast Mississippi Community College,College/University,1,G,79.0,213.0,82.0,,,,33.5,34.5,11.94,,3.23,2.0,23.992789617048548,0.43670886075949367
136,2418,Casey Jacobsen,2002,1,22,Suns,Stanford,College/University,1,,,,,,,,,,,,,,,
137,2419,Tayshaun Prince,2002,1,23,Pistons,Kentucky,College/University,1,,,,,,,,,,,,,,,
138,2420,Nenad Krstic,2002,1,24,Nets,KK Partizan (Serbia),Other Team/Club,1,,,,,,,,,,,,,,,
139,2421,Frank Williams,2002,1,25,Nuggets,Illinois,College/University,1,G,73.5,212.0,80.0,,,,26.0,31.0,11.73,,3.29,,27.58776435744366,0.4217687074829932
140,2422,John Salmons,2002,1,26,Spurs,Miami (FL),College/University,1,G,77.5,207.0,82.25,,,,30.5,34.5,11.35,,3.25,12.0,24.228262226847036,0.44516129032258067
141,2423,Chris Jefferies,2002,1,27,Lakers,Fresno State,College/University,1,,,,,,,,,,,,,,,
142,2424,Dan Dickau,2002,1,28,Kings,Gonzaga,College/University,1,,,,,,,,,,,,,,,
143,2426,Steve Logan,2002,2,29,Warriors,Cincinnati,College/University,0,,,,,,,,,,,,,,,
144,2427,Roger Mason Jr.,2002,2,30,Bulls,Virginia,College/University,1,,,,,,,,,,,,,,,
145,2425,Robert Archibald,2002,2,31,Grizzlies,Illinois,College/University,1,F,82.0,250.0,83.75,,,,24.0,27.5,11.34,,3.33,10.0,26.137715645449134,0.3353658536585366
146,2428,Vincent Yarbrough,2002,2,32,Nuggets,Tennessee,College/University,1,F,77.5,202.0,84.5,,,,30.0,34.0,11.7,,3.32,10.0,23.64303850156087,0.43870967741935485
147,2429,Dan Gadzuric,2002,2,33,Bucks,California-Los Angeles,College/University,1,,,,,,,,,,,,,,,
148,2430,Carlos Boozer,2002,2,34,Cavaliers,Duke,College/University,1,F,79.75,258.0,86.25,,,,26.5,28.5,10.77,,3.31,13.0,28.51764428415601,0.3573667711598746
149,2525,Milos Vujanic,2002,2,35,Knicks,KK Partizan (Serbia),Other Team/Club,1,,,,,,,,,,,,,,,
150,2431,David Andersen,2002,2,36,Hawks,Virtus Pallacanestro Bologna (Italy),Other Team/Club,1,,,,,,,,,,,,,,,
151,2432,Tito Maddox,2002,2,37,Rockets,Fresno State,College/University,1,G,75.0,200.0,77.0,,,,27.0,32.5,12.2,,3.24,0.0,24.995555555555555,0.43333333333333335
152,2433,Rod Grizzard,2002,2,38,Wizards,Alabama,College/University,0,,,,,,,,,,,,,,,
153,2434,Juan Carlos Navarro,2002,2,39,Wizards,FC Barcelona Basquet (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
154,2435,Mario Kasun,2002,2,40,Clippers,Skyliners Frankfurt (Germany),Other Team/Club,1,C,83.75,260.0,83.5,,,,,,,,,12.0,26.05907774560036,
155,2436,Flip Murray,2002,2,41,Bucks,Shaw,College/University,1,G,75.0,197.0,79.5,,,,31.0,36.5,11.13,,3.16,9.0,24.620622222222224,0.4866666666666667
156,2438,Jason Jennings,2002,2,42,Trail Blazers,Arkansas State,College/University,0,,,,,,,,,,,,,,,
157,2437,Lonny Baxter,2002,2,43,Bulls,Maryland,College/University,1,F,78.25,264.0,85.5,,,,28.0,32.5,11.77,,3.21,14.0,30.310322653084135,0.41533546325878595
158,2439,Sam Clancy,2002,2,44,76ers,Southern California,College/University,1,,,,,,,,,,,,,,,
159,2440,Matt Barnes,2002,2,45,Grizzlies,California-Los Angeles,College/University,1,F,78.75,226.0,81.0,,,,35.5,40.5,10.68,,3.28,11.0,25.619027462836986,0.5142857142857142
160,2441,Jamal Sampson,2002,2,46,Jazz,California,College/University,1,,,,,,,,,,,,,,,
161,2442,Chris Owens,2002,2,47,Bucks,Texas,College/University,1,F,79.0,237.0,83.5,,,,,,,,,10.0,26.69620253164557,
162,2526,Peter Fehse,2002,2,48,SuperSonics,SV Halle (Germany),Other Team/Club,0,,,,,,,,,,,,,,,
163,2443,Darius Songaila,2002,2,49,Celtics,Wake Forest,College/University,1,F,80.0,240.0,85.0,,,,24.5,29.5,11.69,,3.52,8.0,26.3625,0.36875
164,2444,Federico Kammerichs,2002,2,50,Trail Blazers,Club Ourense Baloncesto (Spain),Other Team/Club,0,,,,,,,,,,,,,,,
165,2445,Marcus Taylor,2002,2,51,Timberwolves,Michigan State,College/University,0,G,73.0,181.0,76.5,,,,27.5,33.5,11.25,,3.31,4.0,23.877462938637642,0.4589041095890411
166,2446,Rasual Butler,2002,2,52,Heat,La Salle,College/University,1,F,78.75,198.0,84.0,,,,31.5,37.5,11.54,,3.29,10.0,22.44498866213152,0.47619047619047616
167,2447,Tamar Slay,2002,2,53,Nets,Marshall,College/University,1,F,78.75,203.0,83.5,,,,32.5,38.0,10.94,,3.09,11.0,23.01178130511464,0.48253968253968255
168,2448,Mladen Sekularac,2002,2,54,Mavericks,KK FMP (Serbia),Other Team/Club,0,,,,,,,,,,,,,,,
169,2449,Luis Scola,2002,2,55,Spurs,Saski Baskonia (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
170,2450,Randy Holcomb,2002,2,56,Spurs,San Diego State,College/University,1,F,79.0,225.0,85.0,,,,29.5,35.5,12.85,,3.22,15.0,25.34449607434706,0.44936708860759494
171,2451,Corsley Edwards,2002,2,57,Kings,Central Connecticut State,College/University,1,F,79.25,285.0,82.75,,,,28.5,33.0,12.18,,3.31,12.0,31.900805063240753,0.416403785488959
172,2544,LeBron James,2003,1,1,Cavaliers,Saint Vincent-Saint Mary,High School,1,G,79.25,245.0,84.25,6.7,,,,,,,,,27.42349908945258,
173,2545,Darko Milicic,2003,1,2,Pistons,KK Vrsac (Serbia),Other Team/Club,1,F,83.5,250.0,89.0,8.0,,,26.5,32.5,11.3,,3.36,13.0,25.20707088816379,0.38922155688622756
174,2546,Carmelo Anthony,2003,1,3,Nuggets,Syracuse,College/University,1,F,78.25,233.0,84.0,8.0,,,30.5,33.5,11.4,,3.15,7.0,26.75115597791138,0.4281150159744409
