Age,G,MP,Totals_FG,Totals_FGA,Totals_3P,Totals_3PA,Totals_FT,Totals_FTA,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF,Totals_PTS,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,OVERALL_PICK
19.0,33,1150.0,202,468,73,190,84,119,118.0,325,72,35.0,9.0,77.0,75.0,561,0.432,0.384,0.706,34.8,17.0,9.8,2.2,18
21.0,33,978.0,148,296,0,0,139,203,116.0,300,18,17.0,57.0,95.0,91.0,435,0.5,0.36,0.685,29.6,13.2,9.1,0.5,19
21.0,31,1089.0,253,538,51,134,149,195,47.0,168,186,102.0,5.0,101.0,71.0,706,0.47,0.381,0.764,35.1,22.8,5.4,6.0,20
22.0,39,1136.0,218,469,85,200,136,176,79.0,235,49,46.0,11.0,84.0,79.0,657,0.465,0.425,0.773,29.1,16.8,6.0,1.3,21
19.0,37,746.0,144,284,0,1,86,141,100.0,258,37,27.0,31.0,60.0,101.0,374,0.507,0.0,0.61,20.2,10.1,7.0,1.0,22
21.0,28,1033.0,159,400,50,160,81,122,20.0,84,127,84.0,8.0,68.0,64.0,449,0.398,0.313,0.664,36.9,16.0,3.0,4.5,28
24.0,23,628.0,108,184,0,0,65,113,84.0,214,25,13.0,21.0,34.0,52.0,281,0.587,0.36,0.575,27.3,12.2,9.3,1.1,29
22.0,30,1033.0,222,465,58,144,162,186,47.0,181,23,13.0,9.0,53.0,56.0,664,0.477,0.403,0.871,34.4,22.1,6.0,0.8,31
21.0,29,995.0,204,444,72,172,90,114,17.0,90,68,29.0,13.0,69.0,27.0,570,0.459,0.419,0.789,34.3,19.7,3.1,2.3,32
22.0,34,778.0,109,191,0,0,71,104,71.0,219,39,18.0,47.0,62.0,93.0,289,0.571,0.36,0.683,22.9,8.5,6.4,1.1,33
20.0,35,1118.0,195,475,63,177,107,120,22.0,110,183,59.0,4.0,93.0,73.0,560,0.411,0.356,0.892,31.9,16.0,3.1,5.2,34
23.0,28,1011.0,187,441,75,222,113,141,71.0,264,96,42.0,25.0,121.0,56.0,562,0.424,0.338,0.801,36.1,20.1,9.4,3.4,35
21.0,32,1189.0,263,623,73,200,137,164,50.0,175,111,74.0,2.0,72.0,66.0,736,0.422,0.365,0.835,37.2,23.0,5.5,3.5,37
21.0,33,1155.0,171,400,25,85,106,131,93.0,229,60,30.0,21.0,49.0,79.0,473,0.428,0.294,0.809,35.0,14.3,6.9,1.8,39
22.0,34,1212.0,205,422,29,77,137,176,55.0,206,110,34.0,36.0,69.0,58.0,576,0.486,0.377,0.778,35.6,16.9,6.1,3.2,41
20.0,30,1004.0,197,452,34,108,90,116,56.0,196,62,37.0,6.0,62.0,56.0,518,0.436,0.315,0.776,33.5,17.3,6.5,2.1,43
22.0,32,943.0,137,333,42,124,130,169,61.0,203,71,65.0,10.0,74.0,86.0,446,0.411,0.339,0.769,29.5,13.9,6.3,2.2,44
22.0,34,969.0,156,282,13,35,100,168,83.0,239,75,24.0,33.0,88.0,84.0,425,0.553,0.371,0.595,28.5,12.5,7.0,2.2,45
21.0,32,1022.0,180,476,82,235,62,109,53.0,146,70,59.0,5.0,65.0,64.0,504,0.378,0.349,0.569,31.9,15.8,4.6,2.2,48
20.0,33,940.0,182,362,49,122,73,106,61.0,195,73,38.0,28.0,42.0,74.0,486,0.503,0.402,0.689,28.5,14.7,5.9,2.2,5
22.0,39,1363.0,251,533,124,296,152,191,94.0,285,72,82.0,88.0,60.0,80.0,778,0.471,0.419,0.796,34.9,19.9,7.3,1.8,6
18.0,30,979.0,206,480,41,128,80,109,94.0,323,49,26.0,133.0,67.0,71.0,533,0.429,0.32,0.734,32.6,17.8,10.8,1.6,7
20.0,28,865.0,188,386,33,95,114,160,50.0,182,41,34.0,20.0,82.0,73.0,523,0.487,0.347,0.713,30.9,18.7,6.5,1.5,9
19.0,30,873.0,162,346,35,79,68,91,67.0,193,77,43.0,12.0,70.0,46.0,427,0.468,0.443,0.747,29.1,14.2,6.4,2.6,10
19.0,32,1066.5,266,504,76,188,124,169,55.0,280,97,35.0,21.0,71.0,75.0,732,0.528,0.404,0.734,31.8,22.9,8.8,3.0,11
20.0,35,961.0,147,307,31,90,72,110,58.0,190,94,27.0,28.0,104.0,98.0,397,0.479,0.344,0.655,27.5,11.3,5.4,2.7,13
20.0,30,1090.0,223,473,30,86,177,231,94.0,277,62,27.0,50.0,90.0,96.0,653,0.471,0.349,0.766,36.3,21.8,9.2,2.1,14
19.0,30,808.0,138,233,0,0,67,125,66.0,169,15,5.0,72.0,44.0,70.0,343,0.592,0.36,0.536,26.9,11.4,5.6,0.5,15
21.0,33,1018.0,243,552,26,69,114,166,80.0,288,41,36.0,40.0,79.0,93.0,626,0.44,0.377,0.687,30.8,19.0,8.7,1.2,16
19.0,37,811.0,157,239,0,0,50,110,55.0,182,37,29.0,30.0,64.0,72.0,364,0.657,0.36,0.455,21.9,9.8,4.9,1.0,17
21.0,31,1053.0,254,367,12,34,125,212,107.0,303,81,28.0,56.0,88.0,89.0,645,0.692,0.353,0.59,34.0,20.8,9.8,2.6,17
22.0,34,895.0,168,271,12,26,145,185,92.0,265,51,28.0,43.0,53.0,79.0,493,0.62,0.462,0.784,26.3,14.5,7.8,1.5,18
19.0,33,654.0,138,235,0,1,80,126,101.0,221,34,24.0,22.0,53.0,60.0,356,0.587,0.0,0.635,19.8,10.8,6.7,1.0,19
21.0,33,901.0,155,262,0,0,95,184,105.0,242,42,18.0,120.0,66.0,97.0,405,0.592,0.36,0.516,27.3,12.3,7.3,1.3,20
19.0,33,1145.0,251,558,55,146,133,156,41.0,201,116,67.0,12.0,84.0,60.0,690,0.45,0.377,0.853,34.7,20.9,6.1,3.5,21
21.0,29,1011.0,170,431,35,122,117,163,101.0,242,122,41.0,16.0,62.0,62.0,492,0.394,0.287,0.718,34.9,17.0,8.3,4.2,22
20.0,31,1027.0,240,537,76,198,128,155,36.0,101,46,46.0,6.0,65.0,85.0,684,0.447,0.384,0.826,33.1,22.1,3.3,1.5,23
18.0,36,824.0,126,288,11,63,88,155,84.0,216,55,42.0,37.0,86.0,87.0,351,0.438,0.175,0.568,22.9,9.8,6.0,1.5,25
19.0,29,622.0,100,177,0,0,40,72,50.0,166,9,14.0,60.0,55.0,95.0,240,0.565,0.36,0.556,21.4,8.3,5.7,0.3,26
22.0,31,999.0,139,348,37,97,128,185,18.0,117,187,79.0,19.0,117.0,92.0,443,0.399,0.381,0.692,32.2,14.3,3.8,6.0,27
21.0,32,1213.0,246,507,53,136,148,186,82.0,249,144,39.0,15.0,121.0,67.0,693,0.485,0.39,0.796,37.9,21.7,7.8,4.5,29
19.0,36,1044.0,208,434,69,166,97,134,29.0,131,84,65.0,7.0,101.0,82.0,582,0.479,0.416,0.724,29.0,16.2,3.6,2.3,30
19.0,29,1107.0,141,392,68,220,95,128,18.0,88,252,66.0,5.0,148.0,82.0,445,0.36,0.309,0.742,38.2,15.3,3.0,8.7,31
22.0,30,998.0,183,461,95,252,130,165,17.0,86,102,42.0,9.0,123.0,71.0,591,0.397,0.377,0.788,33.3,19.7,2.9,3.4,32
22.0,36,993.0,158,366,26,90,97,122,91.0,277,68,32.0,79.0,64.0,94.0,439,0.432,0.289,0.795,27.6,12.2,7.7,1.9,33
22.0,34,1116.0,173,362,20,66,133,166,70.0,202,96,30.0,31.0,104.0,89.0,499,0.478,0.303,0.801,32.8,14.7,5.9,2.8,34
21.0,21,621.0,72,159,8,34,37,61,41.0,107,33,32.0,20.0,40.0,56.0,189,0.453,0.235,0.607,29.6,9.0,5.1,1.6,35
21.0,34,1222.0,215,437,4,14,125,158,109.0,300,56,58.0,48.0,69.0,92.0,559,0.492,0.286,0.791,35.9,16.4,8.8,1.6,36
21.0,36,1004.0,202,340,0,3,157,197,119.0,281,11,20.0,10.0,63.0,85.0,561,0.594,0.0,0.797,27.9,15.6,7.8,0.3,38
21.0,32,1115.0,172,349,38,108,89,140,43.0,117,166,62.0,11.0,108.0,100.0,471,0.493,0.352,0.636,34.8,14.7,3.7,5.2,39
20.0,32,1035.0,97,207,10,44,64,121,90.0,230,187,48.0,2.0,92.0,49.0,268,0.469,0.227,0.529,32.3,8.4,7.2,5.8,40
20.0,29,981.0,149,333,61,165,124,155,76.0,248,72,23.0,4.0,60.0,97.0,483,0.447,0.37,0.8,33.8,16.7,8.6,2.5,41
21.0,33,746.0,111,243,0,2,93,136,74.0,250,28,11.0,49.0,70.0,99.0,315,0.457,0.0,0.684,22.6,9.5,7.6,0.8,42
21.0,31,1042.0,250,529,86,199,151,180,48.0,151,125,46.0,23.0,89.0,57.0,737,0.473,0.432,0.839,33.6,23.8,4.9,4.0,43
21.0,31,1073.0,209,416,7,33,180,244,46.0,224,102,29.0,14.0,112.0,79.0,605,0.502,0.212,0.738,34.6,19.5,7.2,3.3,44
19.0,22,554.0,63,157,1,4,67,100,55.0,157,19,8.0,50.0,37.0,50.0,194,0.401,0.25,0.67,25.2,8.8,7.1,0.9,45
22.0,29,879.0,133,264,1,3,117,141,47.0,189,62,19.0,84.0,59.0,64.0,384,0.504,0.333,0.83,30.3,13.2,6.5,2.1,45
22.0,31,916.0,145,251,0,0,96,135,63.0,226,25,12.0,125.0,73.0,81.0,386,0.578,0.36,0.711,29.5,12.5,7.3,0.8,48
22.0,33,713.0,105,203,0,0,89,124,87.0,225,30,22.0,78.0,73.0,84.0,299,0.517,0.36,0.718,21.6,9.1,6.8,0.9,49
19.0,26,663.0,95,220,9,34,81,133,42.0,154,17,5.0,19.0,66.0,97.0,280,0.432,0.265,0.609,25.5,10.8,5.9,0.7,50
22.0,32,956.0,173,278,0,0,95,131,69.0,244,61,27.0,17.0,52.0,79.0,441,0.622,0.36,0.725,29.9,13.8,7.6,1.9,51
22.0,34,963.0,154,276,2,6,125,182,69.0,229,47,21.0,19.0,50.0,86.0,435,0.558,0.333,0.687,28.3,12.8,6.7,1.4,52
19.0,35,1203.0,163,421,48,144,130,165,42.0,165,177,60.0,6.0,111.0,89.0,504,0.387,0.333,0.788,34.4,14.4,4.7,5.1,53
21.0,31,1011.0,158,352,21,48,160,206,50.0,190,76,27.0,16.0,69.0,87.0,497,0.449,0.438,0.777,32.6,16.0,6.1,2.5,54
19.0,8,55.0,3,8,0,0,0,5,4.0,10,0,1.0,4.0,1.0,9.0,6,0.375,0.36,0.0,6.9,0.8,1.3,0.0,55
22.0,30,875.0,134,278,0,2,133,223,73.0,312,46,28.0,101.0,90.0,96.0,401,0.482,0.0,0.596,29.2,13.4,10.4,1.5,56
22.0,28,858.0,177,359,38,89,130,165,55.0,200,29,27.0,9.0,74.0,68.0,522,0.493,0.427,0.788,30.6,18.6,7.1,1.0,57
20.0,35,1175.0,249,545,108,282,140,207,27.0,124,187,76.0,3.0,131.0,80.0,746,0.457,0.383,0.676,33.6,21.3,3.5,5.3,2
21.0,35,1133.0,218,451,88,233,81,119,45.0,251,72,80.0,26.0,61.0,79.0,605,0.483,0.378,0.681,32.4,17.3,7.2,2.1,3
20.0,37,1119.0,285,566,10,36,154,204,126.0,423,73,65.0,53.0,108.0,91.0,734,0.504,0.278,0.755,30.2,19.8,11.4,2.0,4
18.0,36,1146.0,265,647,66,208,166,230,18.0,89,128,43.0,20.0,105.0,101.0,762,0.41,0.317,0.722,31.8,21.2,2.5,3.6,6
19.0,36,866.0,173,343,0,2,86,147,97.0,257,53,28.0,53.0,53.0,97.0,432,0.504,0.0,0.585,24.1,12.0,7.1,1.5,8
21.0,34,1223.0,253,521,30,75,155,199,108.0,256,101,71.0,13.0,98.0,75.0,691,0.486,0.4,0.779,36.0,20.3,7.5,3.0,10
20.0,36,1175.0,189,414,27,71,134,201,91.0,273,74,54.0,46.0,102.0,88.0,539,0.457,0.38,0.667,32.6,15.0,7.6,2.1,11
23.0,28,999.0,246,437,0,1,161,219,90.0,254,50,19.0,88.0,73.0,67.0,653,0.563,0.0,0.735,35.7,23.3,9.1,1.8,12
21.0,25,839.0,161,311,15,46,80,111,56.0,167,24,11.0,44.0,51.0,86.0,417,0.518,0.326,0.721,33.6,16.7,6.7,1.0,13
22.0,35,1103.0,215,413,51,137,169,194,65.0,189,111,63.0,18.0,82.0,94.0,650,0.521,0.372,0.871,31.5,18.6,5.4,3.2,14
23.0,36,1209.0,251,535,92,232,141,157,49.0,166,104,92.0,7.0,89.0,72.0,735,0.469,0.397,0.898,33.6,20.4,4.6,2.9,17
21.0,29,896.0,171,297,11,27,138,206,109.0,332,59,17.0,83.0,57.0,82.0,491,0.576,0.407,0.67,30.9,16.9,11.4,2.0,18
19.0,31,831.0,140,279,0,0,63,141,55.0,232,19,24.0,61.0,61.0,112.0,343,0.502,0.36,0.447,26.8,11.1,7.5,0.6,19
22.0,31,1103.0,231,472,3,6,122,204,115.0,337,80,33.0,87.0,77.0,83.0,587,0.489,0.5,0.598,35.6,18.9,10.9,2.6,19
21.0,36,1149.0,249,585,111,274,103,134,48.0,188,89,39.0,22.0,103.0,76.0,712,0.426,0.405,0.769,31.9,19.8,5.2,2.5,20
20.0,23,722.0,239,495,34,113,230,285,55.0,229,42,35.0,21.0,71.0,75.0,742,0.483,0.301,0.807,31.4,32.3,10.0,1.8,21
20.0,30,1058.0,205,465,64,172,184,237,45.0,135,106,18.0,3.0,73.0,55.0,658,0.441,0.372,0.776,35.3,21.9,4.5,3.5,22
21.0,32,1067.0,206,441,65,191,83,118,67.0,202,52,34.0,43.0,64.0,51.0,560,0.467,0.34,0.703,33.3,17.5,6.3,1.6,23
21.0,35,1135.0,174,443,54,159,164,203,32.0,163,153,71.0,10.0,96.0,73.0,566,0.393,0.34,0.808,32.4,16.2,4.7,4.4,25
22.0,32,1077.0,137,297,22,71,123,146,59.0,191,195,57.0,20.0,119.0,75.0,419,0.461,0.31,0.842,33.7,13.1,6.0,6.1,26
18.0,34,720.0,102,229,21,69,37,77,55.0,132,35,25.0,46.0,67.0,66.0,262,0.445,0.304,0.481,21.2,7.7,3.9,1.0,27
21.0,21,726.0,115,275,42,121,92,145,25.0,133,64,25.0,25.0,51.0,58.0,364,0.418,0.347,0.634,34.6,17.3,6.3,3.0,27
20.0,13,296.0,22,56,11,31,5,7,55.0,38,34,11.0,0.0,28.0,27.0,60,0.393,0.355,0.714,22.8,4.6,2.9,2.6,28
23.0,32,1110.0,195,442,117,256,165,191,15.0,95,149,26.0,4.0,92.0,61.0,672,0.441,0.457,0.864,34.7,21.0,3.0,4.7,28
21.0,35,1195.0,246,538,86,230,192,220,10.0,107,187,32.0,0.0,86.0,63.0,770,0.457,0.374,0.873,34.1,22.0,3.1,5.3,29
21.0,34,769.0,114,173,0,1,134,205,70.0,188,44,25.0,38.0,67.0,123.0,362,0.659,0.0,0.654,22.6,10.6,5.5,1.3,31
20.0,31,1097.0,194,457,60,167,112,163,70.0,234,87,58.0,25.0,93.0,60.0,560,0.425,0.359,0.687,35.4,18.1,7.5,2.8,32
23.0,33,865.0,164,296,0,1,58,123,92.0,255,23,18.0,42.0,52.0,89.0,386,0.554,0.0,0.472,26.2,11.7,7.7,0.7,33
20.0,35,993.0,230,346,0,1,178,236,119.0,303,38,31.0,21.0,65.0,107.0,638,0.665,0.0,0.754,28.4,18.2,8.7,1.1,34
19.0,25,807.0,110,281,20,70,97,138,31.0,144,200,41.0,5.0,130.0,67.0,337,0.391,0.286,0.703,32.3,13.5,5.8,8.0,37
21.0,35,1078.0,166,392,40,144,122,158,60.0,213,62,38.0,25.0,80.0,76.0,494,0.423,0.278,0.772,30.8,14.1,6.1,1.8,38
19.0,31,406.0,59,104,0,0,14,32,55.0,84,6,11.0,36.0,26.0,51.0,132,0.567,0.36,0.438,13.1,4.3,2.7,0.2,42
22.0,30,842.0,170,300,0,0,98,124,63.0,198,26,10.0,101.0,58.0,95.0,438,0.567,0.36,0.79,28.1,14.6,6.6,0.9,42
23.0,35,1005.0,193,354,0,1,147,236,80.0,288,28,33.0,69.0,76.0,103.0,533,0.545,0.0,0.623,28.7,15.2,8.2,0.8,43
21.0,32,1203.0,236,478,1,2,138,221,98.0,302,53,56.0,48.0,55.0,99.0,611,0.494,0.5,0.624,37.6,19.1,9.4,1.7,44
21.0,31,953.0,152,323,43,103,73,118,46.0,192,108,35.0,10.0,87.0,75.0,420,0.471,0.417,0.619,30.7,13.5,6.2,3.5,45
18.0,32,797.0,78,183,0,0,50,95,79.0,209,38,15.0,54.0,53.0,85.0,206,0.426,0.36,0.526,24.9,6.4,6.5,1.2,46
18.0,28,552.0,56,146,5,19,54,105,55.0,140,33,25.0,30.0,51.0,61.0,171,0.384,0.263,0.514,19.7,6.1,5.0,1.2,47
22.0,11,299.0,62,124,3,10,47,75,32.0,81,9,8.0,21.0,19.0,27.0,174,0.5,0.3,0.627,27.2,15.8,7.4,0.8,47
23.0,34,1036.0,204,390,6,16,193,226,76.0,276,89,45.0,27.0,119.0,104.0,607,0.523,0.375,0.854,30.5,17.9,8.1,2.6,49
20.0,29,997.0,164,410,60,166,100,123,12.0,83,153,31.0,3.0,91.0,52.0,488,0.4,0.361,0.813,34.4,16.8,2.9,5.3,51
22.0,32,1252.0,233,537,57,158,147,172,75.0,283,44,41.0,43.0,84.0,55.0,670,0.434,0.361,0.855,39.1,20.9,8.8,1.4,52
21.0,30,1031.0,196,439,80,191,95,130,38.0,161,72,49.0,16.0,89.0,81.0,567,0.446,0.419,0.731,34.4,18.9,5.4,2.4,53
19.0,32,419.0,63,128,8,19,30,53,38.0,93,18,15.0,15.0,51.0,40.0,164,0.492,0.421,0.566,13.1,5.1,2.9,0.6,56
22.0,33,1067.0,220,426,12,40,106,167,88.0,296,57,24.0,32.0,116.0,83.0,558,0.516,0.3,0.635,32.3,16.9,9.0,1.7,56
22.0,32,992.0,178,353,0,0,137,180,128.0,278,33,44.0,48.0,71.0,77.0,493,0.504,0.36,0.761,31.0,15.4,8.7,1.0,57
21.0,36,1166.0,261,436,0,0,113,218,138.0,415,36,36.0,147.0,84.0,85.0,635,0.599,0.36,0.518,32.4,17.6,11.5,1.0,2
20.0,39,1346.0,239,551,104,240,141,170,34.0,184,176,53.0,6.0,108.0,91.0,723,0.434,0.433,0.829,34.5,18.5,4.7,4.5,3
20.0,32,1162.0,189,412,75,201,171,216,20.0,139,141,56.0,4.0,66.0,62.0,624,0.459,0.373,0.792,36.3,19.5,4.3,4.4,5
20.0,23,685.0,124,254,34,86,78,95,44.0,173,61,20.0,37.0,51.0,54.0,360,0.488,0.395,0.821,29.8,15.7,7.5,2.7,6
18.0,37,1149.0,210,441,40,111,98,138,82.0,255,68,49.0,39.0,83.0,82.0,558,0.476,0.36,0.71,31.1,15.1,6.9,1.8,7
20.0,30,962.0,136,302,23,73,93,118,72.0,253,147,48.0,11.0,83.0,75.0,388,0.45,0.315,0.788,32.1,12.9,8.4,4.9,9
22.0,31,1072.0,210,430,73,166,163,189,57.0,223,139,39.0,5.0,93.0,53.0,656,0.488,0.44,0.862,34.6,21.2,7.2,4.5,10
18.0,29,990.0,221,498,17,50,170,229,91.0,294,20,27.0,33.0,82.0,65.0,629,0.444,0.34,0.742,34.1,21.7,10.1,0.7,14
20.0,34,1079.0,209,485,54,155,166,227,65.0,195,117,35.0,22.0,119.0,72.0,638,0.431,0.348,0.731,31.7,18.8,5.7,3.4,16
21.0,32,1085.0,234,493,73,187,118,149,33.0,150,170,89.0,1.0,91.0,59.0,659,0.475,0.39,0.792,33.9,20.6,4.7,5.3,20
20.0,32,1073.0,212,416,56,136,124,139,38.0,172,151,55.0,6.0,82.0,60.0,604,0.51,0.412,0.892,33.5,18.9,5.4,4.7,24
19.0,32,967.0,207,406,12,32,101,166,55.0,194,105,35.0,21.0,71.0,75.0,527,0.51,0.375,0.608,30.2,16.5,6.1,3.3,25
22.0,35,1107.0,204,405,22,74,131,194,63.0,193,109,72.0,30.0,98.0,105.0,561,0.504,0.297,0.675,31.6,16.0,5.5,3.1,25
20.0,27,843.0,208,439,51,152,206,252,25.0,130,47,50.0,8.0,84.0,52.0,673,0.474,0.336,0.817,31.2,24.9,4.8,1.7,26
21.0,29,916.0,186,295,0,1,125,232,108.0,254,25,17.0,85.0,78.0,94.0,497,0.631,0.0,0.539,31.6,17.1,8.8,0.9,29
22.0,32,983.0,186,330,1,7,72,142,118.0,307,75,46.0,22.0,101.0,112.0,445,0.564,0.143,0.507,30.7,13.9,9.6,2.3,31
23.0,37,1293.0,204,454,101,247,105,148,17.0,122,117,40.0,1.0,103.0,78.0,614,0.449,0.409,0.709,34.9,16.6,3.3,3.2,33
20.0,33,1066.5,278,515,64,165,231,284,55.0,236,113,35.0,21.0,71.0,75.0,851,0.54,0.388,0.813,31.8,25.8,7.2,3.4,34
21.0,34,1259.0,260,494,16,45,165,226,69.0,225,62,44.0,10.0,70.0,49.0,701,0.526,0.356,0.73,37.0,20.6,6.6,1.8,35
23.0,30,1030.0,176,371,57,138,72,114,16.0,96,165,71.0,7.0,74.0,69.0,481,0.474,0.413,0.632,34.3,16.0,3.2,5.5,36
22.0,33,979.0,111,248,12,31,77,123,42.0,133,141,41.0,8.0,51.0,83.0,311,0.448,0.387,0.626,29.7,9.4,4.0,4.3,37
21.0,37,1311.0,138,308,29,96,65,90,30.0,150,225,80.0,7.0,104.0,76.0,370,0.448,0.302,0.722,35.4,10.0,4.1,6.1,38
22.0,28,939.0,193,416,14,59,117,160,77.0,209,41,19.0,23.0,83.0,86.0,517,0.464,0.237,0.731,33.5,18.5,7.5,1.5,40
21.0,10,152.0,18,53,7,29,8,14,11.0,23,4,7.0,0.0,4.0,13.0,51,0.34,0.241,0.571,15.2,5.1,2.3,0.4,41
18.0,25,789.0,107,251,18,76,57,113,61.0,162,52,42.0,11.0,81.0,69.0,289,0.426,0.237,0.504,31.6,11.6,6.5,2.1,43
22.0,33,985.0,185,426,110,270,63,83,33.0,149,69,82.0,12.0,79.0,83.0,543,0.434,0.407,0.759,29.8,16.5,4.5,2.1,44
23.0,34,1095.0,150,347,17,68,94,122,36.0,194,130,64.0,10.0,93.0,84.0,411,0.432,0.25,0.77,32.2,12.1,5.7,3.8,45
22.0,28,901.0,160,324,8,24,156,231,87.0,272,25,44.0,16.0,85.0,101.0,484,0.494,0.333,0.675,32.2,17.3,9.7,0.9,47
21.0,29,994.0,210,466,45,138,166,214,44.0,213,147,60.0,15.0,106.0,73.0,631,0.451,0.326,0.776,34.3,21.8,7.3,5.1,48
21.0,20,589.0,74,158,22,56,33,44,16.0,95,79,20.0,6.0,50.0,54.0,203,0.468,0.393,0.75,29.5,10.2,4.8,4.0,51
22.0,37,1366.0,179,443,75,215,170,205,75.0,297,84,47.0,5.0,63.0,89.0,603,0.404,0.349,0.829,36.9,16.3,8.0,2.3,52
22.0,33,985.0,185,446,62,174,175,222,66.0,178,30,23.0,21.0,34.0,53.0,607,0.415,0.356,0.788,29.8,18.4,5.4,0.9,53
21.0,30,1051.0,144,363,54,158,111,141,56.0,129,84,31.0,12.0,78.0,58.0,453,0.397,0.342,0.787,35.0,15.1,4.3,2.8,54
18.0,29,312.0,38,82,3,16,35,48,13.0,41,23,14.0,0.0,36.0,25.0,114,0.463,0.188,0.729,10.8,3.9,1.4,0.8,55
22.0,31,1121.0,234,529,68,182,208,241,36.0,122,50,60.0,4.0,73.0,76.0,744,0.442,0.374,0.863,36.2,24.0,3.9,1.6,55
23.0,29,861.0,82,184,0,0,63,82,50.0,170,64,45.0,92.0,76.0,87.0,227,0.446,0.36,0.768,29.7,7.8,5.9,2.2,56
21.0,31,1065.0,143,332,79,210,88,106,26.0,142,207,36.0,4.0,93.0,58.0,453,0.431,0.376,0.83,34.4,14.6,4.6,6.7,58
21.0,29,1077.0,134,316,67,169,82,120,12.0,85,88,53.0,13.0,63.0,53.0,417,0.424,0.396,0.683,37.1,14.4,2.9,3.0,59
20.0,35,1224.0,281,453,9,25,144,208,130.0,427,82,34.0,65.0,96.0,78.0,715,0.62,0.36,0.692,35.0,20.4,12.2,2.3,1
18.0,36,800.0,125,247,19,44,138,163,65.0,236,26,39.0,17.0,56.0,92.0,407,0.506,0.432,0.847,22.2,11.3,6.6,0.7,2
20.0,39,1315.0,178,411,68,187,65,96,14.0,142,264,38.0,8.0,109.0,80.0,489,0.433,0.364,0.677,33.7,12.5,3.6,6.8,3
19.0,32,1069.0,143,317,46,97,156,187,22.0,144,212,76.0,1.0,89.0,82.0,488,0.451,0.474,0.834,33.4,15.3,4.5,6.6,4
20.0,36,1142.0,150,330,70,159,94,134,23.0,155,249,72.0,11.0,129.0,71.0,464,0.455,0.44,0.701,31.7,12.9,4.3,6.9,5
20.0,31,798.0,159,305,6,12,97,141,82.0,257,40,20.0,57.0,70.0,68.0,421,0.521,0.5,0.688,25.7,13.6,8.3,1.3,7
