PLAYER_ID,FIRST_NAME,LAST_NAME,cbb_url,Season,Team,Conf,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2637,Alex,Scales,https://www.sports-reference.com/cbb/players/alex-scales-1.html,1999-00,Oregon,Pac-10,SR,G,30,28,32.0,6.0,13.1,0.455,1.8,5.3,0.338,4.2,7.8,0.536,0.524,2.6,3.3,0.78,1.0,3.3,4.3,2.5,1.4,0.4,2.9,2.3,16.3,
12024,Matt,Santangelo,https://www.sports-reference.com/cbb/players/matt-santangelo-1.html,1999-00,Gonzaga,WCC,SR,G,35,35.0,35.7,4.6,12.4,0.373,1.9,5.7,0.335,2.7,6.7,0.406,0.45,2.0,3.1,0.654,0.4,3.5,3.9,6.4,0.8,0.2,2.6,1.2,13.2,
12145,Brian,Montonati,https://www.sports-reference.com/cbb/players/brian-montonati-1.html,1999-00,Oklahoma State,Big 12,SR,F,34,34,27.5,4.9,9.0,0.544,0.1,0.2,0.5,4.8,8.8,0.545,0.549,2.3,3.3,0.69,2.4,4.8,7.2,1.6,1.4,0.6,1.8,3.8,12.1,
12023,Pepe,Sanchez,https://www.sports-reference.com/cbb/players/pepe-sanchez-1.html,1999-00,Temple,A-10,SR,G,25,25,33.6,1.8,5.7,0.324,1.1,3.2,0.338,0.8,2.5,0.306,0.419,0.9,1.1,0.786,0.7,4.8,5.5,8.0,3.4,0.1,2.1,2.0,5.6,
2121,Terrance,Roberson,https://www.sports-reference.com/cbb/players/terrance-roberson-1.html,1999-00,Fresno State,WAC,SR,F,33,33.0,34.3,5.5,12.9,0.425,2.7,7.3,0.365,2.8,5.6,0.503,0.528,2.7,3.2,0.846,0.2,4.7,4.9,4.1,1.2,0.4,3.1,2.3,16.3,
12021,Aubrey,Reese,https://www.sports-reference.com/cbb/players/aubrey-reese-1.html,1999-00,Murray State,OVC,SR,G,32,32.0,37.6,6.3,13.6,0.461,1.7,4.8,0.353,4.6,8.8,0.52,0.523,6.2,7.6,0.819,1.6,3.7,5.3,4.8,1.9,0.2,3.8,2.5,20.4,
12148,Reed,Rawlings,https://www.sports-reference.com/cbb/players/reed-rawlings-1.html,1999-00,Samford,TAAC,SR,F,32,32.0,31.3,4.8,9.7,0.492,2.0,5.3,0.385,2.7,4.4,0.621,0.597,3.0,3.9,0.77,0.9,3.7,4.6,1.6,1.9,0.4,1.9,2.2,14.6,
12146,Ndongo,N'diaye,https://www.sports-reference.com/cbb/players/ndongo-ndiaye-1.html,Providence (2 Yrs),Providence (2 Yrs),Providence (2 Yrs),Providence (2 Yrs),,37.0,0.0,6.0,0.3,1.3,0.229,0.0,0.0,0.0,0.3,1.3,0.234,0.229,0.2,0.4,0.6,,,1.0,0.0,0.1,0.8,0.4,1.3,0.8,
12017,Caswell,Cyrus,https://www.sports-reference.com/cbb/players/caswell-cyrus-1.html,1999-00,St. Bonaventure,A-10,SR,C,30,28,32.9,4.8,9.6,0.498,0.0,0.0,,4.8,9.6,0.498,0.498,2.4,3.8,0.617,2.4,4.3,6.6,0.6,0.5,1.7,2.1,2.6,12.0,
12133,Ed,Cota,https://www.sports-reference.com/cbb/players/ed-cota-1.html,1999-00,North Carolina,ACC,SR,G,35,34,36.7,3.7,8.5,0.443,0.9,2.6,0.367,2.8,5.9,0.476,0.498,1.7,2.3,0.728,0.7,3.7,4.4,8.1,1.1,0.1,3.3,1.3,10.1,
12132,Eric,Coley,https://www.sports-reference.com/cbb/players/eric-coley-1.html,1999-00,Tulsa,WAC,SR,F,37,37,29.5,4.8,9.2,0.524,0.3,1.5,0.204,4.5,7.7,0.584,0.54,1.4,2.4,0.568,2.5,4.3,6.8,3.4,3.3,1.2,1.6,2.8,11.3,
12131,Mario,Bland,https://www.sports-reference.com/cbb/players/mario-bland-1.html,1999-00,Miami (FL),Big East,SR,C,34,34,27.9,4.6,9.6,0.473,0.1,0.7,0.167,4.4,8.9,0.497,0.479,3.4,4.7,0.73,2.6,4.3,7.0,1.2,0.8,0.3,1.9,2.6,12.6,
12020,Lamont,Barnes,https://www.sports-reference.com/cbb/players/lamont-barnes-1.html,1999-00,Temple,A-10,SR,F,33,33,29.8,3.3,6.8,0.484,0.0,0.1,0.0,3.3,6.6,0.493,0.484,2.4,3.8,0.64,2.5,2.5,5.0,0.8,0.8,1.2,1.2,2.1,9.0,
12019,Harold,Arceneaux,https://www.sports-reference.com/cbb/players/harold-arceneaux-1.html,1999-00,Weber State,Big Sky,SR,F,28,27,32.8,7.6,14.9,0.512,1.4,3.7,0.369,6.3,11.2,0.559,0.558,6.4,8.1,0.796,,,7.4,1.7,1.4,0.9,2.6,2.5,23.0,
2124,Malik,Allen,https://www.sports-reference.com/cbb/players/malik-allen-1.html,1999-00,Villanova,Big East,SR,C,33,33.0,33.4,5.6,10.9,0.511,0.0,0.0,,5.6,10.9,0.511,0.511,3.0,4.3,0.692,2.6,4.8,7.4,1.0,0.7,1.9,2.2,2.4,14.2,
12154,Michael,Hicks,https://www.sports-reference.com/cbb/players/michael-hicks-1.html,UT Arlington (1 Yr),UT Arlington (1 Yr),UT Arlington (1 Yr),UT Arlington (1 Yr),,27.0,20.0,26.2,3.5,8.3,0.418,0.8,2.4,0.323,2.7,5.9,0.456,0.464,2.0,2.8,0.72,1.2,1.9,3.1,1.0,0.9,0.1,1.8,2.4,9.7,
