"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 36_level_0', 'Awards')"
2015-16,31,CLE,NBA,ECF,TOR,W (4-2),6,36.5,26.0,8.5,6.7,2.0,1.0,61,98,.622,7,21,.333,54,77,.701,.658,27,44,.614,13,38,51,40,12,6,14,15,156,
2015-16,31,CLE,NBA,FIN,GSW,W (4-3),7,41.7,29.7,11.3,8.9,2.6,2.3,82,166,.494,13,35,.371,69,131,.527,.533,31,43,.721,17,62,79,62,18,16,31,16,208,Finals MVP-1
2016-17,32,CLE,NBA,EC1,IND,W (4-0),4,43.8,32.8,9.8,9.0,3.0,2.0,50,92,.543,9,20,.450,41,72,.569,.592,22,38,.579,2,37,39,36,12,8,18,10,131,
2016-17,32,CLE,NBA,ECS,TOR,W (4-0),4,41.0,36.0,8.3,5.3,1.3,1.0,43,75,.573,13,27,.481,30,48,.625,.660,45,54,.833,4,29,33,21,5,4,17,7,144,
2016-17,32,CLE,NBA,ECF,BOS,W (4-1),5,38.6,29.6,6.4,6.8,2.2,1.2,58,100,.580,10,29,.345,48,71,.676,.630,22,33,.667,4,28,32,34,11,6,16,13,148,
2016-17,32,CLE,NBA,FIN,GSW,L (1-4),5,42.4,33.6,12.0,10.0,1.4,1.0,66,117,.564,12,31,.387,54,86,.628,.615,24,37,.649,9,51,60,50,7,5,21,13,168,
2017-18,33,CLE,NBA,EC1,IND,W (4-3),7,41.1,34.4,10.0,7.7,1.4,1.0,83,150,.553,12,34,.353,71,116,.612,.593,63,77,.818,14,56,70,54,10,7,26,17,241,
2017-18,33,CLE,NBA,ECS,TOR,W (4-0),4,41.8,34.0,8.3,11.3,1.8,1.0,57,103,.553,3,18,.167,54,85,.635,.568,19,33,.576,2,31,33,45,7,4,8,6,136,
2017-18,33,CLE,NBA,ECF,BOS,W (4-3),7,41.1,33.6,9.0,8.4,1.1,1.1,86,164,.524,18,44,.409,68,120,.567,.579,45,65,.692,6,57,63,59,8,8,40,18,235,
2017-18,33,CLE,NBA,FIN,GSW,L (0-4),4,44.8,34.0,8.5,10.0,1.3,1.0,49,93,.527,6,18,.333,43,75,.573,.559,32,38,.842,9,25,34,40,5,4,20,11,136,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,35,LAL,NBA,WC1,POR,W (4-1),5,32.8,27.4,10.2,10.2,1.2,0.4,48,80,.600,13,28,.464,35,52,.673,.681,28,38,.737,4,47,51,51,6,2,25,8,137,
2019-20,35,LAL,NBA,WCS,HOU,W (4-1),5,35.6,25.8,10.4,7.4,2.0,1.8,46,90,.511,10,34,.294,36,56,.643,.567,27,38,.711,4,48,52,37,10,9,21,10,129,
2019-20,35,LAL,NBA,WCF,DEN,W (4-1),5,36.6,27.0,10.4,9.0,0.6,0.8,52,97,.536,6,21,.286,46,76,.605,.567,25,32,.781,8,44,52,45,3,4,17,9,135,
2019-20,35,LAL,NBA,FIN,MIA,W (4-2),6,39.3,29.8,11.8,8.5,1.2,0.5,68,115,.591,15,36,.417,53,79,.671,.657,28,42,.667,12,59,71,51,7,3,21,13,179,Finals MVP-1
2020-21,36,LAL,NBA,WC1,PHO,L (2-4),6,37.3,23.3,7.2,8.0,1.5,0.3,54,114,.474,18,48,.375,36,66,.545,.553,14,23,.609,7,36,43,48,9,2,25,7,140,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,38,LAL,NBA,WC1,MEM,W (4-2),6,37.2,22.2,11.2,5.2,1.0,1.3,52,107,.486,8,41,.195,44,66,.667,.523,21,31,.677,14,53,67,31,6,8,18,11,133,
2022-23,38,LAL,NBA,WCS,GSW,W (4-2),6,37.7,24.7,8.8,5.5,0.8,1.2,54,109,.495,13,39,.333,41,70,.586,.555,27,32,.844,6,47,53,33,5,7,13,11,148,
2022-23,38,LAL,NBA,WCF,DEN,L (0-4),4,42.8,27.8,9.5,10.0,1.5,0.8,41,79,.519,7,26,.269,34,53,.642,.563,22,29,.759,5,33,38,40,6,3,9,6,111,
2023-24,39,LAL,NBA,WC1,DEN,L (1-4),5,40.8,27.8,6.8,8.8,2.4,1.0,56,99,.566,10,26,.385,46,73,.630,.616,17,23,.739,4,30,34,44,12,5,19,11,139,
2024-25,40,LAL,NBA,WC1,MIN,L (1-4),5,40.8,25.4,9.0,5.6,2.0,1.8,43,88,.489,10,28,.357,33,60,.550,.545,31,40,.775,12,33,45,28,10,9,13,8,127,
,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,
,,,,,,W/L,G,MP,PTS,TRB,AST,STL,BLK,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
18 Yrs (55 Series),18 Yrs (55 Series),18 Yrs (55 Series),18 Yrs (55 Series),18 Yrs (55 Series),18 Yrs (55 Series),41-14,292,41.3,28.4,9.0,7.2,1.7,1.0,2971,5984,.496,480,1443,.333,2491,4541,.549,.537,1867,2519,.741,442,2186,2628,2095,493,284,1047,663,8289,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),WC1 (5 Series),2-3,27,37.7,25.0,8.9,7.5,1.6,1.0,253,488,.518,59,171,.345,194,317,.612,.579,111,155,.716,41,199,240,202,43,26,100,45,676,
EC1 (13 Series),EC1 (13 Series),EC1 (13 Series),EC1 (13 Series),EC1 (13 Series),EC1 (13 Series),13-0,62,41.7,29.7,9.0,7.0,1.6,1.0,633,1235,.513,92,281,.327,541,954,.567,.550,482,635,.759,82,473,555,434,101,61,213,149,1840,
WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),2-0,11,36.7,25.2,9.5,6.4,1.4,1.5,100,199,.503,23,73,.315,77,126,.611,.560,54,70,.771,10,95,105,70,15,16,34,21,277,
ECS (13 Series),ECS (13 Series),ECS (13 Series),ECS (13 Series),ECS (13 Series),ECS (13 Series),10-3,69,42.1,28.1,8.4,6.9,1.9,0.9,671,1436,.467,99,318,.311,572,1118,.512,.502,498,670,.743,102,475,577,475,131,63,246,152,1939,
WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),1-1,9,39.3,27.3,10.0,9.4,1.0,0.8,93,176,.528,13,47,.277,80,129,.620,.565,47,61,.770,13,77,90,85,9,7,26,15,246,
ECF (10 Series),ECF (10 Series),ECF (10 Series),ECF (10 Series),ECF (10 Series),ECF (10 Series),9-1,59,41.7,29.6,8.5,6.8,1.7,1.1,633,1234,.513,93,266,.350,540,968,.558,.551,390,538,.725,87,413,500,399,101,65,211,151,1749,
FIN (10 Series),FIN (10 Series),FIN (10 Series),FIN (10 Series),FIN (10 Series),FIN (10 Series),4-6,55,42.5,28.4,10.2,7.8,1.7,0.8,588,1216,.484,101,287,.352,487,929,.524,.525,285,390,.731,107,454,561,430,93,46,217,130,1562,
