2017-18,36,UTA,NBA,SF,32,3,700,9.0,.492,.372,.106,2.0,15.2,8.7,9.8,0.9,0.7,11.6,17.2,-0.2,0.8,0.6,.041,-2.3,-0.3,-2.6,-0.1,
2017-18,36,HOU,NBA,SF,23,1,505,6.8,.485,.455,.157,0.5,13.9,7.3,10.7,0.6,0.2,11.2,14.1,0.0,0.4,0.4,.038,-3.3,0.0,-3.3,-0.2,
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2019-20,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2020-21,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2021-22,40,BOS,NBA,SG,1,0,2,38.7,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,.335,12.1,2.8,15.0,0.0,
,,,,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
18 Yrs,18 Yrs,18 Yrs,18 Yrs,,1277,1091,44236,15.4,.530,.301,.196,2.8,10.4,6.6,19.6,1.3,0.4,11.3,22.5,56.5,26.3,82.9,.090,1.5,-1.1,0.4,26.5,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,70,2841,15.4,.530,.301,.196,2.8,10.4,6.6,19.6,1.3,0.4,11.3,22.5,3.6,1.7,5.3,.090,1.5,-1.1,0.4,1.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (7 Yrs),ATL (7 Yrs),ATL (7 Yrs),ATL (7 Yrs),,508,508,19733,18.1,.539,.280,.233,2.9,10.0,6.4,24.5,1.4,0.4,11.4,26.0,32.8,11.9,44.7,.109,2.9,-1.4,1.5,17.5,
BRK (4 Yrs),BRK (4 Yrs),BRK (4 Yrs),BRK (4 Yrs),,288,288,9942,13.8,.532,.369,.173,2.2,10.6,6.4,16.7,1.0,0.3,11.1,20.7,10.9,3.8,14.8,.071,0.8,-1.3,-0.5,3.8,
PHO (4 Yrs),PHO (4 Yrs),PHO (4 Yrs),PHO (4 Yrs),,275,220,9739,13.6,.506,.250,.158,3.4,10.1,6.8,15.9,1.4,0.6,11.6,19.7,9.2,5.4,14.7,.072,0.2,-0.7,-0.6,3.5,
UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),UTA (2 Yrs),,110,17,2543,11.7,.529,.401,.119,2.1,13.5,7.9,11.8,1.0,0.8,10.0,18.1,1.4,2.9,4.4,.083,-0.4,0.0,-0.4,1.0,
BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),BOS (2 Yrs),,49,33,1005,12.1,.496,.296,.088,4.3,11.1,7.6,12.5,1.7,0.7,8.3,15.2,0.8,1.2,2.0,.094,-1.2,0.7,-0.4,0.4,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,24,24,769,15.2,.603,.335,.135,2.3,7.6,5.0,17.9,1.4,0.2,13.9,18.4,1.3,0.6,2.0,.123,0.8,-1.0,-0.1,0.4,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,23,1,505,6.8,.485,.455,.157,0.5,13.9,7.3,10.7,0.6,0.2,11.2,14.1,0.0,0.4,0.4,.038,-3.3,0.0,-3.3,-0.2,
