PLAYER_ID  ,FIRST_NAME ,LAST_NAME      ,cbb_url                                                                   ,Season  ,Team                   ,Conf      ,Class ,Pos ,G    ,GS   ,MP     ,FG    ,FGA   ,FG%   ,3P    ,3PA   ,3P%   ,2P    ,2PA   ,2P%   ,eFG%  ,FT    ,FTA   ,FT%   ,ORB   ,DRB   ,TRB   ,AST   ,STL   ,BLK   ,TOV   ,PF    ,PTS   ,Awards
12025      ,Karim      ,Shabazz        ,https://www.sports-reference.com/cbb/players/karim-shabazz-1.html         ,2000-01 ,Providence             ,Big East  ,SR    ,C   ,28.0 ,28.0 , 697.0 , 91.0 ,163.0 ,0.558 ,  0.0 ,  0.0 ,      , 91.0 ,163.0 ,0.558 ,0.558 , 67.0 ,105.0 ,0.638 , 83.0 ,125.0 ,208.0 , 44.0 , 16.0 , 66.0 , 59.0 , 84.0 ,249.0 ,
2637       ,Alex       ,Scales         ,https://www.sports-reference.com/cbb/players/alex-scales-1.html           ,1999-00 ,Oregon                 ,Pac-10    ,SR    ,G   ,30   ,28   , 961   ,179   ,393   ,0.455 , 54   ,160   ,0.338 ,125   ,233   ,0.536 ,0.524 , 78   ,100   ,0.78  , 31.0 , 98.0 ,129   , 75   , 41   , 12   , 88   , 70   ,490   ,
12024      ,Matt       ,Santangelo     ,https://www.sports-reference.com/cbb/players/matt-santangelo-1.html       ,1999-00 ,Gonzaga                ,WCC       ,SR    ,G   ,35   ,35.0 ,1249   ,162   ,434   ,0.373 , 67   ,200   ,0.335 , 95   ,234   ,0.406 ,0.45  , 70   ,107   ,0.654 , 14.0 ,122.0 ,136   ,225   , 27   ,  7   , 92.0 , 43.0 ,461   ,
12145      ,Brian      ,Montonati      ,https://www.sports-reference.com/cbb/players/brian-montonati-1.html       ,1999-00 ,Oklahoma State         ,Big 12    ,SR    ,F   ,34   ,34   , 935   ,166   ,305   ,0.544 ,  3   ,  6   ,0.5   ,163   ,299   ,0.545 ,0.549 , 78   ,113   ,0.69  , 81.0 ,163.0 ,244   , 55   , 49   , 20   , 60   ,129   ,413   ,
12023      ,Pepe       ,Sanchez        ,https://www.sports-reference.com/cbb/players/pepe-sanchez-1.html          ,1999-00 ,Temple                 ,A-10      ,SR    ,G   ,25   ,25   , 839   , 46   ,142   ,0.324 , 27   , 80   ,0.338 , 19   , 62   ,0.306 ,0.419 , 22   , 28   ,0.786 , 17.0 ,121.0 ,138   ,201   , 85   ,  3   , 52   , 49   ,141   ,
2121       ,Terrance   ,Roberson       ,https://www.sports-reference.com/cbb/players/terrance-roberson-1.html     ,1999-00 ,Fresno State           ,WAC       ,SR    ,F   ,33   ,33.0 ,1132   ,181   ,426   ,0.425 , 88   ,241   ,0.365 , 93   ,185   ,0.503 ,0.528 , 88   ,104   ,0.846 ,  8.0 ,155.0 ,163   ,136   , 40   , 12   ,102.0 , 77.0 ,538   ,
12021      ,Aubrey     ,Reese          ,https://www.sports-reference.com/cbb/players/aubrey-reese-1.html          ,1999-00 ,Murray State           ,OVC       ,SR    ,G   ,32   ,32.0 ,1204   ,200   ,434   ,0.461 , 54   ,153   ,0.353 ,146   ,281   ,0.52  ,0.523 ,199   ,243   ,0.819 , 52.0 ,119.0 ,171   ,152   , 62   ,  7   ,120.0 , 81.0 ,653   ,
12148      ,Reed       ,Rawlings       ,https://www.sports-reference.com/cbb/players/reed-rawlings-1.html         ,1999-00 ,Samford                ,TAAC      ,SR    ,F   ,32   ,32.0 ,1003   ,152   ,309   ,0.492 , 65   ,169   ,0.385 , 87   ,140   ,0.621 ,0.597 , 97   ,126   ,0.77  , 30.0 ,117.0 ,147   , 52   , 61   , 13   , 61.0 , 69.0 ,466   ,
12146      ,Ndongo     ,N'diaye        ,https://www.sports-reference.com/cbb/players/ndongo-ndiaye-1.html         ,1999-00 ,Delaware               ,AEC       ,SR    ,C   ,32.0 ,20.0 , 620.0 , 54.0 ,102.0 ,0.529 ,  0.0 ,  0.0 ,      , 54.0 ,102.0 ,0.529 ,0.529 , 18.0 , 46.0 ,0.391 , 55.0 ,110.0 ,165.0 , 10.0 ,  9.0 , 99.0 , 19.0 , 70.0 ,126.0 ,
12017      ,Caswell    ,Cyrus          ,https://www.sports-reference.com/cbb/players/caswell-cyrus-1.html         ,1999-00 ,St. Bonaventure        ,A-10      ,SR    ,C   ,30   ,28   , 987   ,144   ,289   ,0.498 ,  0   ,  0   ,      ,144   ,289   ,0.498 ,0.498 , 71   ,115   ,0.617 , 71.0 ,128.0 ,199   , 19   , 16   , 52   , 62   , 79.0 ,359   ,
