SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE
2024,1642353,Cam,Christie,Cam Christie,SG,76.5,6' 4.50'',,,190.40,80.0,6' 8.00'',101.5,8' 5.50'',,8.0,8.0,32.5,35.5,11.07,2.95,3.07,,,,,,,14-25,,,,,,,,,,,,,17-30,,,,11-25
2024,1642363,Nique,Clifford,Nique Clifford,SF,77.0,6' 5.00'',,,198.60,80.0,6' 8.00'',102.0,8' 6.00'',,8.0,9.0,30.0,37.0,10.95,3.1,3.08,,,,,,,16-25,,,,,,,,,,,,,19-30,,,,9-25
2024,1642270,Donovan,Clingan,Donovan Clingan,C,85.75,7' 1.75'',,,282.00,90.75,7' 6.75'',115.0,9' 7.00'',,10.0,10.25,25.5,29.0,12.06,3.38,3.46,,,,,,,14-25,,,,,,,,,,,,,19-30,,,,10-25
2024,1642268,Isaiah,Collier,Isaiah Collier,PG,74.5,6' 2.50'',,,204.60,76.75,6' 4.75'',97.5,8' 1.50'',,8.5,9.0,30.0,34.0,10.77,2.9,3.04,,,,,,,15-25,,,,,,,,,,,,,13-30,,,,9-25
2024,1641783,Tristan,Da Silva,Tristan Da Silva,PF,80.25,6' 8.25'',,,216.80,82.25,6' 10.25'',104.5,8' 8.50'',,9.0,9.5,28.5,35.5,10.81,2.82,3.09,,,,,,,12-25,,,,,,,,,,,,,17-30,,,,15-25
2024,1642359,Pacome,Dadiet,Pacome Dadiet,SF,79.75,6' 7.75'',,,216.8,81.0,6' 9'',107.5,8' 11.5'',,8.5,9.0,29.0,36.0,11.84,2.94,3.21,,,,,,,,,,,,,,,,,,,,,,,,
2024,1642368,N'Faly,Dante,N'Faly Dante,C,82.0,6' 10.00'',,,260.20,90.0,7' 6.00'',111.0,9' 3.00'',,9.25,10.0,27.0,33.0,11.55,3.04,3.23,,,,,,,12-25,,,,,,,,,,,,,16-30,,,,
2024,1642265,Robert,Dillingham,Robert Dillingham,PG,73.0,6' 1.00'',,,164.20,75.0,6' 3.00'',95.0,7' 11.00'',,8.0,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1641743,Nikola,Djurisic,Nikola Djurisic,SF,79.0,6' 7.00'',,,208.80,80.0,6' 8.00'',102.5,8' 6.50'',,8.5,10.0,27.5,34.5,10.63,2.92,3.12,,,,,,,13-25,,,,,,,,,,,,,19-30,,,,7-25
2024,1642346,Ryan,Dunn,Ryan Dunn,PF,78.25,6' 6.25'',,,213.60,85.5,7' 1.50'',103.0,8' 7.00'',,9.0,9.75,32.0,38.5,10.99,2.88,3.12,,,,,,,8-25,,,,,,,,,,,,,11-30,,,,10-25
2024,1641744,Zach,Edey,Zach Edey,C,87.75,7' 3.75'',,,299.00,94.75,7' 10.75'',115.0,9' 7.00'',,10.0,10.75,26.0,31.5,11.19,3.01,3.42,,,,,,,11-25,,,,,,,,,,,,,18-30,,,,14-25
2024,1642348,Justin,Edwards,Justin Edwards,SF,78.0,6' 6.00'',,,209.40,82.0,6' 10.00'',102.5,8' 6.50'',,8.75,8.75,28.0,32.5,12.07,3.22,3.18,,,,,,,15-25,,,,,,,,,,,,,11-30,,,,12-25
2024,1642399,Jesse,Edwards,Jesse Edwards,C,83.5,6' 11.50'',,,236.00,89.0,7' 5.00'',111.0,9' 3.00'',,9.25,10.0,30.5,35.5,11.24,3.23,3.33,,,,,,,14-25,,,,,,,,,,,,,20-30,,,,9-25
2024,1642407,Boogie,Ellis,Boogie Ellis,PG-SG,72.75,6' 0.75'',,,185.00,79.0,6' 7.00'',98.0,8' 2.00'',,9.0,9.5,31.5,39.5,11.98,3.33,3.19,,,,,,,22-25,,,,,,,,,,,,,22-30,,,,13-25
2024,1642271,Kyle,Filipowski,Kyle Filipowski,PF,82.75,6' 10.75'',,,229.80,82.5,6' 10.50'',107.0,8' 11.00'',,8.75,9.5,27.0,32.5,11.43,2.93,3.19,,,,,,,11-25,,,,,,,,,,,,,17-30,,,,14-25
2024,1642280,Trentyn,Flowers,Trentyn Flowers,SF,78.5,6' 6.50'',,,201.40,80.25,6' 8.25'',100.5,8' 4.50'',,8.75,9.5,34.5,42.0,11.01,3.0,3.13,,,,,,,14-25,,,,,,,,,,,,,20-30,,,,14-25
2024,1642402,Enrique,Freeman,Enrique Freeman,PF,79.25,6' 7.25'',,,212.00,86.0,7' 2.00'',108.0,9' 0.00'',,8.75,10.0,30.5,35.0,10.99,3.04,3.26,,,,,,,12-25,,,,,,,,,,,,,13-30,,,,12-25
2024,1642277,Johnny,Furphy,Johnny Furphy,SF,79.5,6' 7.50'',,,188.80,80.0,6' 8.00'',104.5,8' 8.50'',,8.0,9.5,25.5,32.0,11.15,3.17,3.2,,,,,,,18-25,,,,,,,,,,,,,19-30,,,,9-25
2024,1642273,Kyshawn,George,Kyshawn George,SF,79.0,6' 7.00'',,,208.80,82.25,6' 10.25'',105.0,8' 9.00'',,9.0,10.25,27.0,32.0,11.9,2.91,3.32,,,,,,,13-25,,,,,,,,,,,,,17-30,,,,16-25
2024,1642360,Tyon,Grant-Foster,Tyon Grant-Foster,SF,77.75,6' 5.75'',,,215.20,83.75,6' 11.75'',104.0,8' 8.00'',,8.75,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1641790,PJ,Hall,PJ Hall,C,80.25,6' 8.25'',,,239.60,85.5,7' 1.50'',103.5,8' 7.50'',,9.0,9.75,32.5,39.5,11.76,3.01,3.35,,,,,,,13-25,,,,,,,,,,,,,17-30,,,,12-25
2024,1641746,Coleman,Hawkins,Coleman Hawkins,PF,80.25,6' 8.25'',,,215.20,84.0,7' 0.00'',107.0,8' 11.00'',,8.75,8.75,24.0,29.5,12.05,3.21,3.3,,,,,,,16-25,,,,,,,,,,,,,16-30,,,,16-25
2024,1641842,Ron,Holland II,Ron Holland II,SF,78.5,6' 6.50'',,,196.80,82.75,6' 10.75'',104.0,8' 8.00'',,8.75,9.0,30.0,38.0,11.1,2.91,3.1,,,,,,,15-25,,,,,,,,,,,,,16-30,,,,9-25
2024,1641747,DaRon,Holmes II,DaRon Holmes II,C,80.75,6' 8.75'',,,236.20,85.0,7' 1.00'',108.0,9' 0.00'',,8.75,9.0,27.5,34.0,11.2,3.03,3.25,,,,,,,18-25,,,,,,,,,,,,,13-30,,,,15-25
2024,1630574,Ariel,Hukporti,Ariel Hukporti,C,82.75,6' 10.75'',,,246.20,86.5,7' 2.50'',111.0,9' 3.00'',,9.25,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1642345,Oso,Ighodaro,Oso Ighodaro,C,81.5,6' 9.50'',,,222.00,83.0,6' 11.00'',104.5,8' 8.50'',,9.0,10.0,35.0,39.5,11.25,3.12,3.09,,,,,,,7-25,,,,,,,,,,,,,11-30,,,,11-25
2024,1631127,Harrison,Ingram,Harrison Ingram,SF,77.25,6' 5.25'',,,233.60,84.25,7' 0.25'',102.5,8' 6.50'',,9.0,10.25,29.0,35.0,11.36,2.94,3.17,,,,,,,16-25,,,,,,,,,,,,,17-30,,,,13-25
2024,1642355,Bronny,James,Bronny James,SG,73.5,6' 1.50'',,,210.40,79.25,6' 7.25'',98.5,8' 2.50'',,8.5,9.5,32.0,40.5,10.96,3.02,3.09,,,,,,,16-25,,,,,,,,,,,,,15-30,,,,19-25
2024,1642352,Keshad,Johnson,Keshad Johnson,PF,78.25,6' 6.25'',,,224.00,82.25,6' 10.25'',103.0,8' 7.00'',,9.25,10.75,31.5,42.0,11.38,3.02,3.03,,,,,,,10-25,,,,,,,,,,,,,16-30,,,,11-25
2024,1642358,AJ,Johnson,AJ Johnson,SG,76.25,6' 4.25'',,,167.00,80.5,6' 8.50'',102.0,8' 6.00'',,8.5,8.5,29.0,38.0,10.76,2.87,3.15,,,,,,,10-25,,,,,,,,,,,,,18-30,,,,12-25
2024,1641794,Dillon,Jones,Dillon Jones,SF,76.5,6' 4.50'',,,236.80,83.0,6' 11.00'',100.5,8' 4.50'',,9.0,9.25,26.5,33.5,11.08,2.82,3.25,,,,,,,17-25,,,,,,,,,,,,,25-30,,,,14-25
2024,1642357,David,Jones,David Jones,SF,75.5,6' 3.50'',,,211.20,78.75,6' 6.75'',100.0,8' 4.00'',,8.5,9.5,28.0,34.5,11.08,3.3,3.2,,,,,,,18-25,,,,,,,,,,,,,25-30,,,,11-25
2024,1642403,Isaac,Jones,Isaac Jones,C,79.75,6' 7.75'',,,235.00,87.0,7' 3.00'',108.0,9' 0.00'',,9.25,10.25,29.0,35.0,11.49,3.0,3.38,,,,,,,13-25,,,,,,,,,,,,,16-30,,,,16-25
2024,1642284,Alex,Karaban,Alex Karaban,PF,78.5,6' 6.50'',,,219.20,83.0,6' 11.00'',106.5,8' 10.50'',,8.75,9.25,22.5,32.0,11.23,,3.2,,,,,,,17-25,,,,,,,,,,,,,27-30,,,,21-25
2024,1641752,Bobi,Klintman,Bobi Klintman,PF,80.75,6' 8.75'',,,212.20,83.0,6' 11.00'',106.5,8' 10.50'',,8.75,10.0,26.5,32.5,11.49,3.21,3.23,,,,,,,17-25,,,,,,,,,,,,,18-30,,,,12-25
2024,1642261,Dalton,Knecht,Dalton Knecht,SF,77.25,6' 5.25'',,,212.20,81.0,6' 9.00'',103.5,8' 7.50'',,8.5,9.5,31.0,39.0,10.56,2.79,3.07,,,,,,,21-25,,,,,,,,,,,,,20-30,,,,18-25
2024,1642278,Tyler,Kolek,Tyler Kolek,PG,73.25,6' 1.25'',,,196.60,74.75,6' 2.75'',95.0,7' 11.00'',,8.25,9.5,27.0,34.0,10.97,3.08,3.27,,,,,,,17-25,,,,,,,,,,,,,20-30,,,,16-25
2024,1641796,Pelle,Larsson,Pelle Larsson,SG,77.25,6' 5.25'',,,212.40,79.5,6' 7.50'',102.0,8' 6.00'',,8.75,10.25,30.5,38.0,11.15,2.91,3.06,,,,,,,17-25,,,,,,,,,,,,,21-30,,,,12-25
2024,1642272,Jared,McCain,Jared McCain,SG,74.0,6' 2.00'',,,203.20,75.5,6' 3.50'',98.0,8' 2.00'',,8.25,9.5,25.5,33.0,10.87,3.07,3.23,,,,,,,19-25,,,,,,,,,,,,,19-30,,,,12-25
2024,1641755,Kevin,McCullar Jr.,Kevin McCullar Jr.,SF,77.25,6' 5.25'',,,205.80,81.0,6' 9.00'',103.0,8' 7.00'',,8.75,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1642274,Yves,Missi,Yves Missi,C,82.75,6' 10.75'',,,229.40,86.0,7' 2.00'',109.5,9' 1.50'',,9.5,10.0,31.0,38.5,11.45,3.12,3.12,,,,,,,13-25,,,,,,,,,,,,,13-30,,,,12-25
2024,1642349,Ajay,Mitchell,Ajay Mitchell,PG,75.25,6' 3.25'',,,197.00,78.25,6' 6.25'',101.0,8' 5.00'',,8.5,8.5,28.0,33.5,11.12,2.95,3.11,,,,,,,12-25,,,,,,,,,,,,,24-30,,,,16-25
2024,1642367,Jonathan,Mogbo,Jonathan Mogbo,PF,78.25,6' 6.25'',,,217.20,86.0,7' 2.00'',108.5,9' 0.50'',,8.75,8.75,31.5,37.5,11.14,3.07,3.02,,,,,,,9-25,,,,,,,,,,,,,14-30,,,,14-25
2024,1641803,Tristen,Newton,Tristen Newton,PG,75.25,6' 3.25'',,,191.80,78.75,6' 6.75'',100.0,8' 4.00'',,8.5,9.0,25.0,32.5,10.96,2.84,3.24,,,,,,,16-25,,,,,,,,,,,,,19-30,,,,17-25
2024,1642361,Juan,Nunez,Juan Nunez,PG,76.0,6' 4'',,,205.6,78.5,6' 6.5'',102.0,8' 6'',,8.5,9.5,22.0,29.0,11.47,3.1,3.41,,,,,,,,,,,,,,,,,,,,,,,,
2024,1642366,Quinten,Post,Quinten Post,C,84.0,7' 0.00'',,,244.40,86.5,7' 2.50'',112.0,9' 4.00'',,9.25,10.0,24.0,27.0,11.48,3.03,3.4,,,,,,,16-25,,,,,,,,,,,,,21-30,,,,14-25
2024,1641810,Antonio,Reeves,Antonio Reeves,SG,76.5,6' 4.50'',,,186.60,80.25,6' 8.25'',100.5,8' 4.50'',,9.0,10.0,29.0,36.0,11.44,3.16,3.14,,,,,,,17-25,,,,,,,,,,,,,21-30,,,,16-25
2024,1642258,Zaccharie,Risacher,Zaccharie Risacher,SF,80.5,6' 8.5'',,,194.6,81.5,6' 9.5'',107.0,8' 11'',,8.5,8.75,25.0,31.0,11.51,2.97,3.38,,,,,,,,,,,,,,,,,,,,,,,,
2024,1642283,Jaxson,Robinson,Jaxson Robinson,SG,76.75,6' 4.75'',,,188.60,83.25,6' 11.25'',103.0,8' 7.00'',,9.0,9.5,29.5,34.0,11.39,3.06,3.17,,,,,,,17-25,,,,,,,,,,,,,19-30,,,,17-25
2024,1642275,Tidjane,Salaun,Tidjane Salaun,PF,80.75,6' 8.75'',,,217.4,85.5,7' 1.5'',110.0,9' 2'',,8.5,9.75,27.5,32.0,11.45,3.05,3.37,,,,,,,,,,,,,,,,,,,,,,,,
2024,1642282,Hunter,Sallis,Hunter Sallis,SG,75.5,6' 3.50'',,,179.40,81.75,6' 9.75'',100.5,8' 4.50'',,8.0,9.5,29.5,36.0,10.82,3.16,3.11,,,,,,,18-25,,,,,,,,,,,,,22-30,,,,10-25
2024,1642362,Payton,Sandfort,Payton Sandfort,SF,78.25,6' 6.25'',,,212.00,80.0,6' 8.00'',104.0,8' 8.00'',,8.5,9.0,22.0,28.0,11.57,2.84,3.43,,,,,,,16-25,,,,,,,,,,,,,17-30,,,,12-25
2024,1642259,Alexandre,Sarr,Alexandre Sarr,C,83.75,6' 11.75'',,,224.20,88.25,7' 4.25'',110.0,9' 2.00'',,9.0,10.0,30.5,37.0,11.43,3.23,3.27,,,,,,,15-25,,,,,,,,,,,,,16-30,,,,13-25
2024,1631248,Baylor,Scheierman,Baylor Scheierman,SF,78.25,6' 6.25'',,,201.60,80.25,6' 8.25'',102.5,8' 6.50'',,9.25,9.75,27.5,32.0,10.89,2.94,3.09,,,,,,,22-25,,,,,,,,,,,,,24-30,,,,10-25
2024,1641813,Mark,Sears,Mark Sears,PG,70.25,5' 10.25'',,,192.40,74.0,6' 2.00'',92.0,7' 8.00'',,8.0,8.5,32.0,39.0,11.96,3.26,3.33,,,,,,,17-25,,,,,,,,,,,,,25-30,,,,19-25
2024,1630545,Terrence,Shannon Jr.,Terrence Shannon Jr.,SF,77.75,6' 5.75'',,,219.40,80.75,6' 8.75'',100.0,8' 4.00'',,8.75,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1642347,Jamal,Shead,Jamal Shead,PG,72.25,6' 0.25'',,,200.80,75.0,6' 3.00'',96.0,8' 0.00'',,8.25,8.75,30.0,37.5,10.87,2.87,2.94,,,,,,,11-25,,,,,,,,,,,,,18-30,,,,11-25
2024,1642263,Reed,Sheppard,Reed Sheppard,PG,73.75,6' 1.75'',,,181.60,75.25,6' 3.25'',93.5,7' 9.50'',,7.75,9.0,32.5,42.0,10.96,3.03,3.08,,,,,,,17-25,,,,,,,,,,,,,17-30,,,,15-25
2024,1642354,KJ,Simpson,KJ Simpson,PG,72.25,6' 0.25'',,,187.00,76.5,6' 4.50'',93.5,7' 9.50'',,8.25,9.25,32.5,40.5,10.49,2.98,3.24,,,,,,,15-25,,,,,,,,,,,,,16-30,,,,12-25
2024,1641890,Tyler,Smith,Tyler Smith,PF,81.0,6' 9.00'',,,223.80,85.0,7' 1.00'',105.0,8' 9.00'',,8.5,9.0,32.0,38.0,10.74,2.99,3.28,,,,,,,14-25,,,,,,,,,,,,,9-30,,,,14-25
2024,1642285,Cam,Spencer,Cam Spencer,SG,75.0,6' 3.00'',,,201.80,77.0,6' 5.00'',98.5,8' 2.50'',,8.5,9.75,23.0,30.5,11.07,3.0,3.35,,,,,,,15-25,,,,,,,,,,,,,26-30,,,,18-25
2024,1641772,Nae'Qwan,Tomlin,Nae'Qwan Tomlin,PF,80.25,6' 8.25'',,,205.00,86.5,7' 2.50'',109.0,9' 1.00'',,9.0,10.0,27.5,32.5,11.63,3.54,3.43,,,,,,,16-25,,,,,,,,,,,,,17-30,,,,13-25
2024,1642260,Nikola,Topic,Nikola Topic,PG,77.75,6' 5.75'',,,203,77.5,6' 5.5'',102.0,8' 6'',,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1642356,JT,Toppin,JT Toppin,PF,79.0,6' 7.00'',,,221.00,84.5,7' 0.50'',106.0,8' 10.00'',,9.25,9.25,28.5,34.0,11.12,3.01,3.27,,,,,,,8-25,,,,,,,,,,,,,11-30,,,,10-25
2024,1642281,Jaylon,Tyson,Jaylon Tyson,SF,77.5,6' 5.50'',,,218.20,80.0,6' 8.00'',102.5,8' 6.50'',,8.25,9.5,29.5,36.5,11.13,3.06,3.12,,,,,,,18-25,,,,,,,,,,,,,20-30,,,,18-25
2024,1642266,Ja'Kobe,Walter,Ja'Kobe Walter,SG,76.25,6' 4.25'',,,197.60,82.0,6' 10.00'',102.5,8' 6.50'',,8.75,9.75,30.5,38.5,11.0,2.92,3.04,,,,,,,17-25,,,,,,,,,,,,,23-30,,,,10-25
2024,1642276,Kel'el,Ware,Kel'el Ware,C,83.75,6' 11.75'',,,230.00,88.5,7' 4.50'',112.5,9' 4.50'',,9.5,10.25,32.5,36.0,10.97,2.91,3.29,,,,,,,11-25,,,,,,,,,,,,,16-30,,,,9-25
2024,1642364,Jamir,Watkins,Jamir Watkins,SF,77.0,6' 5.00'',,,211.60,82.75,6' 10.75'',104.0,8' 8.00'',,9.0,9.5,30.5,35.5,10.64,3.16,3.01,,,,,,,16-25,,,,,,,,,,,,,12-30,,,,13-25
2024,1642377,Jaylen,Wells,Jaylen Wells,SF,78.5,6' 6.50'',,,206.20,79.25,6' 7.25'',103.5,8' 7.50'',,8.25,9.25,27.5,36.0,11.28,3.03,3.08,,,,,,,18-25,,,,,,,,,,,,,22-30,,,,15-25
2024,1642262,Cody,Williams,Cody Williams,SF,78.5,6' 6.50'',,,178.40,85.0,7' 1.00'',103.0,8' 7.00'',,8.25,9.0,31.0,35.5,11.17,2.93,3.06,,,,,,,11-25,,,,,,,,,,,,,23-30,,,,11-25
