draft_year,player_slug,player_name,Season,Age,College,G,MP,Totals_FG,Totals_FGA,Totals_3P,Totals_3PA,Totals_FT,Totals_FTA,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF,Totals_PTS,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST
2000,petermo01,Morris Peterson,1999-00,22.0,MICHIGANST,39,1136,218,469,85,200,136,176,79.0,235,49,46,11,84,79.0,657,0.465,0.425,0.773,29.1,16.8,6.0,1.3
2000,harvedo01,Donnell Harvey,1999-00,19.0,FLORIDA,37,746,144,284,0,1,86,141,100.0,258,37,27,31,60,101.0,374,0.507,0.0,0.61,20.2,10.1,7.0,1.0
2000,ndiayma02,Mamadou N'Diaye,1999-00,24.0,AUBURN,34,903,100,187,0,0,103,155,95.0,267,18,26,66,73,105.0,303,0.535,,0.665,26.6,8.9,7.9,0.5
2000,barkler01,Erick Barkley,1999-00,21.0,STJOHNS,28,1033,159,400,50,160,81,122,20.0,84,127,84,8,68,64.0,449,0.398,0.313,0.664,36.9,16.0,3.0,4.5
2000,madsema01,Mark Madsen,1999-00,24.0,STANFORD,23,628,108,184,0,0,65,113,84.0,214,25,13,21,34,52.0,281,0.587,,0.575,27.3,12.2,9.3,1.1
2000,langhda01,Dan Langhi,1999-00,22.0,VANDY,30,1033,222,465,58,144,162,186,47.0,181,23,13,9,53,56.0,664,0.477,0.403,0.871,34.4,22.1,6.0,0.8
2000,guytoaj01,A.J. Guyton,1999-00,21.0,INDIANA,29,995,204,444,72,172,90,114,17.0,90,68,29,13,69,27.0,570,0.459,0.419,0.789,34.3,19.7,3.1,2.3
2000,voskuja01,Jake Voskuhl,1999-00,22.0,UCONN,34,778,109,191,0,0,71,104,71.0,219,39,18,47,62,93.0,289,0.571,,0.683,22.9,8.5,6.4,1.1
2000,elamikh01,Khalid El-Amin,1999-00,20.0,UCONN,35,1118,195,475,63,177,107,120,22.0,110,183,59,4,93,73.0,560,0.411,0.356,0.892,31.9,16.0,3.1,5.2
2000,smithmi03,Mike Smith,1999-00,23.0,ULAMO,28,1011,187,441,75,222,113,141,71.0,264,96,42,25,121,56.0,562,0.424,0.338,0.801,36.1,20.1,9.4,3.4
2000,houseed01,Eddie House,1999-00,21.0,ARIZONAST,32,1189,263,623,73,200,137,164,50.0,175,111,74,2,72,66.0,736,0.422,0.365,0.835,37.2,23.0,5.5,3.5
2000,najered01,Eduardo NÃ¡jera,1999-00,23.0,OKLAHOMA,34,1162,234,514,18,82,139,202,98.0,314,72,59,25,82,97.0,625,0.455,0.22,0.688,34.2,18.4,9.2,2.1
2000,postela01,Lavor Postell,1999-00,21.0,STJOHNS,33,1155,171,400,25,85,106,131,93.0,229,60,30,21,49,79.0,473,0.428,0.294,0.809,35.0,14.3,6.9,1.8
2000,mottoha01,Hanno MÃ¶ttÃ¶lÃ¤,1999-00,23.0,UTAH,21,579,116,233,21,60,105,127,,101,36,4,12,63,68.0,358,0.498,0.35,0.827,27.6,17.0,4.8,1.7
2000,carrach01,Chris Carrawell,1999-00,22.0,DUKE,34,1212,205,422,29,77,137,176,,206,110,34,36,69,58.0,576,0.486,0.377,0.778,35.6,16.9,6.1,3.2
2000,reddmi01,Michael Redd,1999-00,20.0,OHIOST,30,1004,197,452,34,108,90,116,56.0,196,62,37,6,62,56.0,518,0.436,0.315,0.776,33.5,17.3,6.5,2.1
2000,cardibr01,Brian Cardinal,1999-00,22.0,PURDUE,32,943,137,333,42,124,130,169,61.0,203,71,65,10,74,86.0,446,0.411,0.339,0.769,29.5,13.9,6.3,2.2
2000,smithja01,Jabari Smith,1999-00,22.0,LSU,34,969,156,282,13,35,100,168,83.0,239,75,24,33,88,84.0,425,0.553,0.371,0.595,28.5,12.5,7.0,2.2
2000,karchma01,Mark Karcher,1999-00,21.0,TEMPLE,32,1022,180,476,82,235,62,109,53.0,146,70,59,5,65,64.0,504,0.378,0.349,0.569,31.9,15.8,4.6,2.2
