"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2016-17,31,ATL,NBA,C,6.0,6.0,157.0,0.5,2.7,1.0,0.75,0.194,0.0,0.056,0.0,0.5,0.593,0.286,,0.0,,0.833,,0.333,10.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,34,LAL,NBA,C,18.0,7.0,282.0,0.684,3.2,0.965,0.737,0.211,0.018,0.0,0.035,0.691,0.714,0.583,1.0,,0.5,0.684,1.0,0.421,22.0,0.0,0.0,0.0,
2020-21,35,PHI,NBA,C,12.0,0.0,149.0,0.533,2.7,0.967,0.7,0.267,0.0,0.0,0.033,0.552,0.667,0.25,,,0.0,0.688,,0.367,9.0,0.0,0.0,0.0,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,125.0,102.0,3945.0,0.589,3.1,0.994,0.615,0.35,0.023,0.005,0.006,0.592,0.707,0.405,0.444,0.167,0.143,0.59,1.0,0.279,302.0,0.0,2.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,67.0,2588.0,0.589,3.1,0.994,0.615,0.35,0.023,0.005,0.006,0.592,0.707,0.405,0.444,0.167,0.143,0.59,1.0,0.279,198.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORL (5 Yrs),ORL (5 Yrs),ORL (5 Yrs),ORL (5 Yrs),,57.0,57.0,2246.0,0.6,3.1,0.995,0.592,0.368,0.031,0.005,0.005,0.603,0.711,0.44,0.5,0.333,0.0,0.562,,0.255,160.0,0.0,2.0,0.0,
HOU (3 Yrs),HOU (3 Yrs),HOU (3 Yrs),HOU (3 Yrs),,28.0,28.0,985.0,0.563,3.0,0.997,0.619,0.369,0.009,0.0,0.003,0.564,0.707,0.339,0.0,,0.0,0.571,,0.289,91.0,0.0,0.0,0.0,
LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),LAL (2 Yrs),,22.0,11.0,408.0,0.657,3.7,0.98,0.677,0.253,0.04,0.01,0.02,0.66,0.746,0.48,0.5,0.0,0.5,0.719,1.0,0.364,32.0,0.0,0.0,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,12.0,0.0,149.0,0.533,2.7,0.967,0.7,0.267,0.0,0.0,0.033,0.552,0.667,0.25,,,0.0,0.688,,0.367,9.0,0.0,0.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,6.0,6.0,157.0,0.5,2.7,1.0,0.75,0.194,0.0,0.056,0.0,0.5,0.593,0.286,,0.0,,0.833,,0.333,10.0,,0.0,0.0,
